Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average
1,K L Rahul.,42.06,138.16,0,0
2,Colin Munro,14.75,125.53,0,0
3,Ambati Rayudu,28.7,125.95,0,0
4,Karun Nair,24.81,128.53,0,0
5,Shemron Hetmyer,18,123.29,0,0
6,Bne stokes,22.68,132.02,8.26,31.08
7,Washing sunder,15,141.51,7.62,28.19
8,Kuldeep Yadav,8.8,81.48,8.33,29.33
9,Cottrell,5,68.18,7.84,20.5
10,Lungi Ngidi,1,1,6,14.18
11,Malinga,5.5,88.89,7.14,19.72
