Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average
1,Evin Lewis,26.88,131.1,0,0
2,Quinton de Kock,30.33,131.29,0,0
3,Shubman Gill ,33.27,132.36,0,0
4,Nitish Rana ,28.55,134.62,7.85,17
5,Dinesh Karthik,27.07,129.8,0,0
6,Karun Nair,24.81,128.53,0,0
7,Mitchell Santner ,32,139.13,6.71,23.5
8,David Willey,13.83,131.75,9.5,47.5
9,Mayank Markande ,9,93.1,8.54,26.69
10,Jofra Archer,11.71,134.43,7.53,23.69
11,Kamlesh Nagarkoti ,1,1,8.03,27.68
