Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average
1,Aaron Finch,25.93,130.7,0,0
2,Martin Guptil,22.5,137.76,0,0
3,Steven Smith,37.44,128.95,0,0
4,Parthiv Patel,22.6,120.78,0,0
5,Rishabh Pant,36.17,162.7,0,0
6,Nicholas Pooran,28,157.01,0,0
7,Moeen Ali,24.75,165.92,6.97,29.56
8,Axar Patel,18.95,126.35,7.46,29.99
9,Shradhul Thakur,7.2,171.43,9.04,29.58
10,Mohd Shami,6,101.89,8.99,38.67
11,Jofra Archer,11.71,134.43,7.53,23.69
