S.NO,PLAYERS,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average,4s,6s,Ratio,Draft2_Player_id,Draft1_Player_id,Auction1_Player_id,Auction2_Player_id,Auction3_Player_id,No of balls played,4s ratio,6s ratio
153,Lendl Simmons,39.96,126.64,0,0,108,51,0.4722222222,5,,,,,852,0.1267605634,0.05985915493
154,Mujeeb Ur Rahman,5,90.91,7.96,28.24,2,0,0,9,,,,,11,0.1818181818,0
155,JP Duminy,39.78,124.02,7.38,36.26,126,79,0.626984127,10,,,,,1636,0.07701711491,0.04828850856
156,Colin De Grandhomme,18.94,134.67,8.86,53.17,18,18,1,7,,,,,225,0.08,0.08
157,Tim Southee,14.38,127.78,8.74,46.18,8,4,0.5,,,,,,,#DIV/0!,#DIV/0!
158,Sam Billings,17.58,133.6,0,0,31,10,0,11,,,,,250,0.124,0.04
159,Adam Zampa,2.5,62.5,7.55,14.63,1,0,0,3,,,,,8,0.125,0
160,Mandeep Singh,22.16,124.71,0,0,160,33,0.20625,9,,,,,1226,0.1305057096,0.02691680261
,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
