Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average
1,KL Rahul ,42.06,138.16,0,0
2,Jonny Bairstow ,55.62,157.24,0,0
3,Mayank Agarwal ,18.41,128.54,0,0
4,Suryakumar Yadav,28.07,131.63,0,0
5,David Miller,34.26,138.78,0,0
6,Krunal Pandya ,25.46,146.07,7.17,28.2
7,Sunil Narine ,17.52,168.34,6.68,23.32
8,Sam Curran,19.04,130.93,8.65,30.28
9,Ankit Rajpoot ,4.25,54.84,8.64,27.95
10,Kane Richardson,12,92.31,8.38,24.61
11,Kuldeep Yadav ,8.8,81.48,8.33,29.33
