Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average
1,Chris Gayle,41.14,151.03,7.91,40.22
2,Martin Guptil,22.5,137.76,0,0
3,Virat Kohli ,37.85,131.61,8.8,92
4,Tom Banton,30.45,157.33,0,0
5,D'arcy Short,32.89,120.82,7.95,50.33
6,Krunal Pandya,25.46,146.07,7.17,28.2
7,Washington Sundar,15,141.51,7.64,28.19
8,Keemo Paul,20.29,115.45,8.31,22.5
9,Isuru Udana,19.17,144.65,8.69,31.92
10,Umesh Yadav,9.38,96.83,8.46,29.38
11,Navdeep Saini,2,50,8.27,36.09
