Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average
1,Rashid khan,8.67,165.08,6.55,21.69
2,Parthiv Patel ,22.6,120.78,0,0
3,Manish Pandey,29.31,120.82,0,0
4,Suresh Raina,33.34,137.11,7.43,44.72
5,Marcus Stoinis,31.53,129.95,9.3,37.93
6,Jos Butler,35.54,150.82,0,0
7,Axar patel,18.95,126.35,7.46,29.99
8,Amit Mishra,11.68,93.06,7.34,24.17
9,Tom Curran,12.67,131.03,9.1,25.57
10,Lungisani Ngidi,2.33,46.67,8.65,15.5
11,Pat Cummins,12.83,140,8.29,29.35
