player,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob,Present_league
Ishant Sharma,61,25,21,3,0,4,2,6,0.409836066,0.344262295,0.049180328,0,0.06557377,0.032786885,0.098360656,743,603,128,13,301,72,71,1931,0.384774728,0.312273433,0.066286898,0.006732263,0.155877784,0.03728638,0.036768514,11
Ish Sodhi,17,8,7,0,0,0,0,2,0.470588235,0.411764706,0,0,0,0,0.117647059,56,81,17,1,9,8,9,181,0.309392265,0.447513812,0.093922652,0.005524862,0.049723757,0.044198895,0.049723757,222
Irfan Pathan,945,284,406,76,2,87,37,53,0.300529101,0.42962963,0.08042328,0.002116402,0.092063492,0.039153439,0.056084656,755,731,116,4,293,82,80,2061,0.366327026,0.354682193,0.056283358,0.001940805,0.142163998,0.039786511,0.038816109,222
Imran Tahir,27,13,6,1,0,3,0,4,0.481481481,0.222222222,0.037037037,0,0.111111111,0,0.148148148,327,567,84,3,94,79,79,1233,0.265206813,0.459854015,0.068126521,0.00243309,0.076236821,0.064071371,0.064071371,11
Iqbal Abdulla,84,32,34,6,0,9,1,2,0.380952381,0.404761905,0.071428571,0,0.107142857,0.011904762,0.023809524,291,416,51,4,88,37,40,927,0.313915858,0.448759439,0.055016181,0.004314995,0.094929881,0.0399137,0.043149946,222
Ishan Kishan,531,192,181,27,0,64,34,33,0.361581921,0.34086629,0.050847458,0,0.120527307,0.064030132,0.062146893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Jofra Archer,61,15,24,5,0,6,4,7,0.245901639,0.393442623,0.081967213,0,0.098360656,0.06557377,0.114754098,181,181,32,2,54,26,26,502,0.360557769,0.360557769,0.06374502,0.003984064,0.107569721,0.051792829,0.051792829,23
Jonny Bairstow,284,86,103,18,2,49,18,8,0.302816901,0.362676056,0.063380282,0.007042254,0.172535211,0.063380282,0.028169014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Johan Botha,359,113,143,37,2,39,5,20,0.314763231,0.398328691,0.103064067,0.005571031,0.108635097,0.013927577,0.055710306,229,308,43,4,60,24,25,693,0.33044733,0.444444444,0.062049062,0.005772006,0.086580087,0.034632035,0.036075036,222
Joe Denly,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Jagadeesha Suchith,47,18,16,5,0,4,2,2,0.382978723,0.340425532,0.106382979,0,0.085106383,0.042553191,0.042553191,69,122,24,2,31,16,12,276,0.25,0.442028986,0.086956522,0.007246377,0.112318841,0.057971014,0.043478261,222
Jayant Yadav,10,2,6,0,0,0,0,2,0.2,0.6,0,0,0,0,0.2,84,94,16,0,18,8,5,225,0.373333333,0.417777778,0.071111111,0,0.08,0.035555556,0.022222222,23
Jos Butler,919,292,321,64,2,140,61,39,0.31773667,0.349292709,0.069640914,0.002176279,0.152339499,0.066376496,0.042437432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Jesse Ryder,458,164,145,30,3,69,19,28,0.358078603,0.316593886,0.065502183,0.006550218,0.150655022,0.041484716,0.061135371,71,105,18,0,21,13,8,236,0.300847458,0.444915254,0.076271186,0,0.088983051,0.055084746,0.033898305,222
Jaydev Unadkat,54,16,25,0,0,6,1,6,0.296296296,0.462962963,0,0,0.111111111,0.018518519,0.111111111,429,617,102,9,191,95,77,1520,0.282236842,0.405921053,0.067105263,0.005921053,0.125657895,0.0625,0.050657895,5
Jacob Oram,108,40,46,3,0,6,5,8,0.37037037,0.425925926,0.027777778,0,0.055555556,0.046296296,0.074074074,70,95,14,0,34,13,9,235,0.29787234,0.404255319,0.059574468,0,0.144680851,0.055319149,0.038297872,222
James Neesham,46,22,10,7,0,3,1,3,0.47826087,0.217391304,0.152173913,0,0.065217391,0.02173913,0.065217391,13,25,3,0,9,4,1,55,0.236363636,0.454545455,0.054545455,0,0.163636364,0.072727273,0.018181818,27
James Franklin,301,105,129,22,0,25,9,11,0.348837209,0.428571429,0.073089701,0,0.083056478,0.029900332,0.03654485,30,75,11,1,21,6,9,153,0.196078431,0.490196078,0.071895425,0.006535948,0.137254902,0.039215686,0.058823529,222
Jacques Kallis,2221,828,888,113,8,255,44,85,0.372805043,0.399819901,0.050877983,0.003601981,0.114813147,0.019810896,0.038271049,536,749,106,6,235,57,65,1754,0.305587229,0.427023945,0.060433295,0.003420753,0.133979475,0.032497149,0.037058153,222
Jasprit Bumrah,38,12,17,2,0,2,1,4,0.315789474,0.447368421,0.052631579,0,0.052631579,0.026315789,0.105263158,564,686,145,8,193,66,82,1744,0.323394495,0.393348624,0.083142202,0.004587156,0.110665138,0.037844037,0.047018349,45
Jason Roy,135,50,48,6,0,18,8,5,0.37037037,0.355555556,0.044444444,0,0.133333333,0.059259259,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Justin Kemp,24,8,9,2,1,1,1,2,0.333333333,0.375,0.083333333,0.041666667,0.041666667,0.041666667,0.083333333,12,20,2,0,6,1,3,44,0.272727273,0.454545455,0.045454545,0,0.136363636,0.022727273,0.068181818,222
Jason Holder,31,12,6,2,0,4,2,5,0.387096774,0.193548387,0.064516129,0,0.129032258,0.064516129,0.161290323,75,87,16,1,28,10,5,222,0.337837838,0.391891892,0.072072072,0.004504505,0.126126126,0.045045045,0.022522523,222
Joginder Sharma,30,6,14,3,0,1,2,4,0.2,0.466666667,0.1,0,0.033333333,0.066666667,0.133333333,59,127,17,0,35,16,12,266,0.221804511,0.477443609,0.063909774,0,0.131578947,0.060150376,0.045112782,222
JP Duminy,1636,467,781,126,6,126,79,51,0.285452323,0.477383863,0.077017115,0.003667482,0.077017115,0.048288509,0.031173594,211,328,43,0,53,33,23,691,0.305354559,0.474674385,0.062228654,0,0.076700434,0.047756874,0.033285094,2
James Faulkner,389,103,160,41,1,36,23,25,0.264781491,0.411311054,0.105398458,0.002570694,0.092544987,0.059125964,0.064267352,338,486,123,5,159,65,59,1235,0.273684211,0.393522267,0.099595142,0.004048583,0.128744939,0.052631579,0.047773279,2
Khaleel Ahmed,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,70,92,8,1,31,15,19,236,0.296610169,0.389830508,0.033898305,0.004237288,0.131355932,0.063559322,0.080508475,222
Krishnappa Gowtham,83,18,23,9,1,10,10,12,0.21686747,0.277108434,0.108433735,0.012048193,0.120481928,0.120481928,0.144578313,110,157,18,0,49,15,11,360,0.305555556,0.436111111,0.05,0,0.136111111,0.041666667,0.030555556,4
Keemo Paul,24,10,6,1,0,1,1,5,0.416666667,0.25,0.041666667,0,0.041666667,0.041666667,0.208333333,43,89,9,1,18,6,9,175,0.245714286,0.508571429,0.051428571,0.005714286,0.102857143,0.034285714,0.051428571,10
Kagiso Rabada,79,32,31,3,0,5,2,6,0.405063291,0.392405063,0.037974684,0,0.063291139,0.025316456,0.075949367,124,155,33,1,58,15,31,417,0.29736211,0.371702638,0.079136691,0.002398082,0.139088729,0.035971223,0.074340528,18
Kieron Pollard,1876,589,704,123,7,181,176,96,0.313965885,0.375266525,0.065565032,0.003731343,0.096481876,0.093816631,0.051172708,271,633,96,2,139,63,56,1260,0.215079365,0.502380952,0.076190476,0.001587302,0.11031746,0.05,0.044444444,97
Kemar Roach,9,2,4,1,0,1,0,1,0.222222222,0.444444444,0.111111111,0,0.111111111,0,0.111111111,20,16,3,0,10,3,0,52,0.384615385,0.307692308,0.057692308,0,0.192307692,0.057692308,0,222
Kumar Sangakkara,1391,455,563,81,5,195,27,65,0.327102804,0.404744788,0.058231488,0.003594536,0.140186916,0.019410496,0.046728972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Dinesh Karthik,2813,833,1175,206,6,357,101,135,0.296125133,0.417703519,0.073231426,0.002132954,0.126910771,0.035904728,0.047991468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Krunal Pandya,610,176,222,53,3,86,35,35,0.28852459,0.363934426,0.086885246,0.004918033,0.140983607,0.057377049,0.057377049,261,479,64,2,78,33,39,956,0.273012552,0.501046025,0.066945607,0.00209205,0.081589958,0.034518828,0.040794979,97
Kyle Abbott,8,2,2,1,1,0,1,1,0.25,0.25,0.125,0.125,0,0.125,0.125,26,34,9,0,24,4,2,99,0.262626263,0.343434343,0.090909091,0,0.242424242,0.04040404,0.02020202,222
Kevon Cooper,68,18,16,8,0,9,8,9,0.264705882,0.235294118,0.117647059,0,0.132352941,0.117647059,0.132352941,151,244,62,0,59,23,33,572,0.263986014,0.426573427,0.108391608,0,0.103146853,0.04020979,0.057692308,222
Karun Nair,1138,380,416,81,5,158,39,59,0.333919156,0.365553603,0.071177504,0.004393673,0.13884007,0.03427065,0.051845343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KL Rahul,1431,450,570,104,3,176,81,47,0.314465409,0.398322851,0.07267645,0.002096436,0.122990915,0.056603774,0.032844165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Kedar Jadhav,853,249,372,54,1,92,38,47,0.291910903,0.436107855,0.063305979,0.001172333,0.107854631,0.044548652,0.055099648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Kevin Pietersen,742,247,284,48,4,91,40,28,0.332884097,0.382749326,0.064690027,0.005390836,0.122641509,0.053908356,0.037735849,47,91,11,1,10,9,7,176,0.267045455,0.517045455,0.0625,0.005681818,0.056818182,0.051136364,0.039772727,222
Kane Williamson,963,267,429,74,4,111,44,34,0.277258567,0.445482866,0.076843198,0.004153686,0.115264798,0.04569055,0.035306334,2,3,0,0,1,0,0,6,0.333333333,0.5,0,0,0.166666667,0,0,27
Kuldeep Yadav,54,23,16,6,0,4,0,5,0.425925926,0.296296296,0.111111111,0,0.074074074,0,0.092592593,207,398,60,2,61,61,39,828,0.25,0.480676329,0.072463768,0.002415459,0.073671498,0.073671498,0.047101449,222
Karn Sharma,274,84,114,22,1,18,14,21,0.306569343,0.416058394,0.080291971,0.003649635,0.065693431,0.051094891,0.076642336,326,477,74,4,79,82,54,1096,0.297445255,0.435218978,0.067518248,0.003649635,0.072080292,0.074817518,0.049270073,18
Kane Richardson,39,14,16,3,0,2,1,3,0.358974359,0.41025641,0.076923077,0,0.051282051,0.025641026,0.076923077,106,114,22,1,35,23,18,319,0.332288401,0.357366771,0.068965517,0.003134796,0.109717868,0.072100313,0.056426332,27
Liam Livingstone,48,19,13,2,0,6,5,3,0.395833333,0.270833333,0.041666667,0,0.125,0.104166667,0.0625,3,1,0,0,0,2,0,6,0.5,0.166666667,0,0,0,0.333333333,0,222
Liam Plunkett,3,1,1,0,0,0,0,1,0.333333333,0.333333333,0,0,0,0,0.333333333,35,77,8,0,15,12,4,151,0.231788079,0.509933775,0.052980132,0,0.099337748,0.079470199,0.026490066,222
Luke Ronchi,34,18,4,0,0,6,1,5,0.529411765,0.117647059,0,0,0.176470588,0.029411765,0.147058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Lockie Ferguson,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,37,29,2,0,9,4,3,84,0.44047619,0.345238095,0.023809524,0,0.107142857,0.047619048,0.035714286,19
Luke Wright,60,14,20,2,0,16,3,5,0.233333333,0.333333333,0.033333333,0,0.266666667,0.05,0.083333333,12,42,4,0,5,9,2,74,0.162162162,0.567567568,0.054054054,0,0.067567568,0.121621622,0.027027027,222
Lendl Simmons,852,349,269,52,2,109,44,27,0.409624413,0.3157277,0.061032864,0.002347418,0.127934272,0.051643192,0.031690141,1,10,2,0,2,2,1,18,0.055555556,0.555555556,0.111111111,0,0.111111111,0.111111111,0.055555556,4
Ross Taylor,820,269,334,62,3,66,46,40,0.32804878,0.407317073,0.075609756,0.003658537,0.080487805,0.056097561,0.048780488,0,10,1,0,0,2,0,13,0,0.769230769,0.076923077,0,0,0.153846154,0,10
Moeen Ali,179,52,65,7,0,20,23,12,0.290502793,0.363128492,0.039106145,0,0.111731844,0.12849162,0.067039106,80,103,11,0,16,13,9,232,0.344827586,0.443965517,0.047413793,0,0.068965517,0.056034483,0.038793103,97
Murugan Ashwin,8,1,4,0,0,0,0,3,0.125,0.5,0,0,0,0,0.375,116,202,32,1,40,20,15,426,0.272300469,0.474178404,0.075117371,0.002347418,0.093896714,0.046948357,0.035211268,222
Merchant de Lange,2,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Murali Kartik,108,24,60,8,1,7,1,7,0.222222222,0.555555556,0.074074074,0.009259259,0.064814815,0.009259259,0.064814815,351,536,95,6,97,41,31,1157,0.303370787,0.46326707,0.082108902,0.005185825,0.083837511,0.035436474,0.026793431,222
Michael Klinger,77,31,30,2,1,9,0,4,0.402597403,0.38961039,0.025974026,0.012987013,0.116883117,0,0.051948052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Mitun Manhas,470,158,191,44,1,43,10,23,0.336170213,0.406382979,0.093617021,0.00212766,0.091489362,0.021276596,0.04893617,15,21,2,1,2,1,0,42,0.357142857,0.5,0.047619048,0.023809524,0.047619048,0.023809524,0,222
Mayank Markhande,29,11,9,3,0,3,0,3,0.379310345,0.310344828,0.103448276,0,0.103448276,0,0.103448276,75,139,12,0,36,20,16,298,0.251677852,0.466442953,0.040268456,0,0.120805369,0.067114094,0.053691275,28
Morne Morkel,90,21,33,8,1,11,5,11,0.233333333,0.366666667,0.088888889,0.011111111,0.122222222,0.055555556,0.122222222,631,556,101,11,228,61,77,1665,0.378978979,0.333933934,0.060660661,0.006606607,0.136936937,0.036636637,0.046246246,222
Muttiah Muralitharan,30,11,9,2,1,1,0,6,0.366666667,0.3,0.066666667,0.033333333,0.033333333,0,0.2,535,657,104,3,104,66,63,1532,0.34921671,0.428851175,0.067885117,0.001958225,0.067885117,0.04308094,0.041122715,222
Makhaya Ntini,18,13,1,1,0,2,0,1,0.722222222,0.055555556,0.055555556,0,0.111111111,0,0.055555556,92,59,8,1,29,8,7,204,0.450980392,0.289215686,0.039215686,0.004901961,0.142156863,0.039215686,0.034313725,222
Mitchell Santner,23,7,10,2,0,0,3,1,0.304347826,0.434782609,0.086956522,0,0,0.130434783,0.043478261,33,35,5,1,6,2,4,86,0.38372093,0.406976744,0.058139535,0.011627907,0.069767442,0.023255814,0.046511628,4
Mujeeb Ur Rahman,11,5,2,0,0,2,0,2,0.454545455,0.181818182,0,0,0.181818182,0,0.181818182,109,160,31,3,34,18,17,372,0.293010753,0.430107527,0.083333333,0.008064516,0.091397849,0.048387097,0.045698925,45
Murali Vijay,2105,806,687,163,17,243,91,98,0.382897862,0.326365796,0.077434679,0.00807601,0.11543943,0.043230404,0.046555819,8,21,2,0,6,0,0,37,0.216216216,0.567567568,0.054054054,0,0.162162162,0,0,18
Manan Vohra,767,283,234,62,9,97,39,43,0.368970013,0.305084746,0.08083442,0.011734029,0.126466754,0.050847458,0.056062581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Mark Wood,3,1,1,0,0,0,0,1,0.333333333,0.333333333,0,0,0,0,0.333333333,5,9,2,0,6,2,0,24,0.208333333,0.375,0.083333333,0,0.25,0.083333333,0,222
Mayank Agarwal,986,323,374,51,0,117,52,69,0.327586207,0.379310345,0.051724138,0,0.118661258,0.052738337,0.069979716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Mitchell Starc,98,34,38,9,0,10,0,7,0.346938776,0.387755102,0.091836735,0,0.102040816,0,0.071428571,198,210,56,5,77,8,34,588,0.336734694,0.357142857,0.095238095,0.008503401,0.130952381,0.013605442,0.057823129,4
Mandeep Singh,1227,385,477,101,3,160,33,68,0.313773431,0.388753056,0.082314588,0.002444988,0.130399348,0.026894866,0.055419723,1,6,2,0,1,2,0,12,0.083333333,0.5,0.166666667,0,0.083333333,0.166666667,0,27
Mashrafe Mortaza,2,1,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,6,9,4,0,3,4,0,26,0.230769231,0.346153846,0.153846154,0,0.115384615,0.153846154,0,222
Moises Henriques,756,225,310,70,3,87,27,34,0.297619048,0.41005291,0.092592593,0.003968254,0.115079365,0.035714286,0.044973545,239,418,55,3,120,37,38,910,0.262637363,0.459340659,0.06043956,0.003296703,0.131868132,0.040659341,0.041758242,18
Kusal Perera,13,6,2,0,0,3,0,2,0.461538462,0.153846154,0,0,0.230769231,0,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Michael Hussey,1612,556,648,96,11,198,52,51,0.344913151,0.401985112,0.05955335,0.006823821,0.122828784,0.032258065,0.031637717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Farvez Maharoof,123,33,43,16,0,12,9,10,0.268292683,0.349593496,0.130081301,0,0.097560976,0.073170732,0.081300813,138,171,28,1,46,16,27,427,0.323185012,0.400468384,0.06557377,0.00234192,0.107728337,0.037470726,0.06323185,222
Mitchell Johnson,164,63,58,12,1,10,7,13,0.384146341,0.353658537,0.073170732,0.006097561,0.06097561,0.042682927,0.079268293,472,405,79,6,194,55,61,1272,0.371069182,0.318396226,0.062106918,0.004716981,0.152515723,0.043238994,0.047955975,222
Misbah-ul-Haq,81,23,29,6,0,10,6,7,0.283950617,0.358024691,0.074074074,0,0.12345679,0.074074074,0.086419753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Michael clarke,93,35,35,5,0,12,0,6,0.376344086,0.376344086,0.053763441,0,0.129032258,0,0.064516129,20,33,3,0,4,2,2,64,0.3125,0.515625,0.046875,0,0.0625,0.03125,0.03125,222
Martin Guptil,195,76,59,7,2,24,15,12,0.38974359,0.302564103,0.035897436,0.01025641,0.123076923,0.076923077,0.061538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Mitchell McClenaghan,70,24,21,1,0,5,7,12,0.342857143,0.3,0.014285714,0,0.071428571,0.1,0.171428571,436,484,71,3,176,70,71,1311,0.332570557,0.369183829,0.054157132,0.00228833,0.134248665,0.053394355,0.054157132,11
Manish Pandey,2351,742,1005,171,8,253,75,97,0.315610379,0.427477669,0.072735006,0.003402807,0.107613781,0.031901319,0.041259039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Manoj Tiwary,1445,472,633,77,8,156,40,59,0.326643599,0.438062284,0.053287197,0.005536332,0.107958478,0.027681661,0.04083045,8,22,4,1,2,7,1,45,0.177777778,0.488888889,0.088888889,0.022222222,0.044444444,0.155555556,0.022222222,27
Matthew Hayden,805,303,257,48,2,121,44,30,0.376397516,0.319254658,0.059627329,0.002484472,0.150310559,0.054658385,0.037267081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Munaf Patel,41,12,17,1,0,5,0,6,0.292682927,0.414634146,0.024390244,0,0.12195122,0,0.146341463,516,445,75,8,187,50,74,1355,0.380811808,0.328413284,0.055350554,0.005904059,0.13800738,0.036900369,0.054612546,222
Mohit Sharma,117,36,45,7,1,9,4,15,0.307692308,0.384615385,0.05982906,0.008547009,0.076923077,0.034188034,0.128205128,545,648,122,8,260,77,91,1751,0.311250714,0.370074243,0.069674472,0.004568818,0.148486579,0.043974872,0.051970303,222
Marlon Samuels,172,71,61,11,0,9,7,13,0.412790698,0.354651163,0.063953488,0,0.052325581,0.040697674,0.075581395,70,88,16,0,23,12,9,218,0.321100917,0.403669725,0.073394495,0,0.105504587,0.055045872,0.041284404,222
Morne van Wyk,132,38,58,12,1,19,1,3,0.287878788,0.439393939,0.090909091,0.007575758,0.143939394,0.007575758,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Mohammad Ashraful,10,7,2,0,0,0,0,1,0.7,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Mohammad Asif,6,1,3,0,0,0,0,2,0.166666667,0.5,0,0,0,0,0.333333333,56,67,15,1,37,8,8,192,0.291666667,0.348958333,0.078125,0.005208333,0.192708333,0.041666667,0.041666667,222
Mohammad Hafeez,83,43,24,0,0,7,2,7,0.518072289,0.289156627,0,0,0.084337349,0.024096386,0.084337349,20,29,1,0,5,2,2,59,0.338983051,0.491525424,0.016949153,0,0.084745763,0.033898305,0.033898305,222
Mohammad Nabi,91,23,34,6,1,11,7,9,0.252747253,0.373626374,0.065934066,0.010989011,0.120879121,0.076923077,0.098901099,100,106,14,1,21,13,11,266,0.37593985,0.398496241,0.052631579,0.003759398,0.078947368,0.04887218,0.041353383,6
Mohammad Shami,53,17,18,2,0,5,2,9,0.320754717,0.339622642,0.037735849,0,0.094339623,0.037735849,0.169811321,316,403,65,1,158,59,40,1042,0.303262956,0.386756238,0.062380038,0.000959693,0.151631478,0.056621881,0.038387716,222
Mohammed Siraj,36,14,16,0,0,2,1,3,0.388888889,0.444444444,0,0,0.055555556,0.027777778,0.083333333,172,227,30,1,72,41,28,571,0.301225919,0.397548161,0.052539405,0.001751313,0.126094571,0.071803853,0.049036778,222
Marcus Stoinis,364,109,148,39,1,34,18,15,0.299450549,0.406593407,0.107142857,0.002747253,0.093406593,0.049450549,0.041208791,78,180,21,0,51,23,15,368,0.211956522,0.489130435,0.057065217,0,0.138586957,0.0625,0.04076087,45
Mitchell Marsh,196,67,83,11,0,9,14,12,0.341836735,0.423469388,0.056122449,0,0.045918367,0.071428571,0.06122449,92,138,18,0,39,14,20,321,0.286604361,0.429906542,0.056074766,0,0.121495327,0.043613707,0.062305296,2
Maninder Bisla,702,302,207,36,3,93,23,38,0.43019943,0.294871795,0.051282051,0.004273504,0.132478632,0.032763533,0.054131054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Mahendra Singh Dhoni,3215,945,1342,304,13,297,209,105,0.293934681,0.417418351,0.094556765,0.004043546,0.092379471,0.065007776,0.032659409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Mathhew Wade,33,12,14,4,0,0,0,3,0.363636364,0.424242424,0.121212121,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Mustafizur Rahman,3,1,1,0,0,0,0,1,0.333333333,0.333333333,0,0,0,0,0.333333333,173,226,50,1,56,22,24,552,0.313405797,0.40942029,0.09057971,0.001811594,0.101449275,0.039855072,0.043478261,23
Nikhil Naik,16,11,3,0,0,1,0,1,0.6875,0.1875,0,0,0.0625,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Nicholas Pooran,107,40,30,7,0,10,14,6,0.373831776,0.280373832,0.065420561,0,0.093457944,0.130841121,0.056074766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Nitish Rana,807,280,307,37,1,84,60,38,0.346964064,0.380421314,0.045848823,0.001239157,0.104089219,0.074349442,0.04708798,27,39,4,0,12,4,7,93,0.290322581,0.419354839,0.043010753,0,0.129032258,0.043010753,0.075268817,6
Navdeep Saini,145,57,45,15,1,16,0,11,0.393103448,0.310344828,0.103448276,0.006896552,0.110344828,0,0.075862069,125,79,13,2,49,13,11,292,0.428082192,0.270547945,0.044520548,0.006849315,0.167808219,0.044520548,0.037671233,222
Nic Maddinson,21,12,1,0,1,4,0,3,0.571428571,0.047619048,0,0.047619048,0.19047619,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Thisara Perera,307,90,119,26,1,23,26,22,0.293159609,0.38762215,0.084690554,0.003257329,0.074918567,0.084690554,0.071661238,196,279,54,3,113,28,31,704,0.278409091,0.396306818,0.076704545,0.004261364,0.160511364,0.039772727,0.044034091,222
Nathan Coulter-Nile,50,20,14,1,0,3,4,8,0.4,0.28,0.02,0,0.06,0.08,0.16,211,187,30,2,84,20,36,570,0.370175439,0.328070175,0.052631579,0.003508772,0.147368421,0.035087719,0.063157895,2
Naman Ojha,1313,526,438,64,10,121,79,75,0.400609292,0.333587205,0.048743336,0.007616146,0.092155369,0.060167555,0.057121097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Parvinder Awana,14,7,5,0,0,0,0,2,0.5,0.357142857,0,0,0,0,0.142857143,254,266,56,2,106,34,39,757,0.335535007,0.351387054,0.073976222,0.002642008,0.14002642,0.044914135,0.051519155,222
Prasidh Krishna,7,5,1,0,0,0,0,1,0.714285714,0.142857143,0,0,0,0,0.142857143,134,153,24,1,77,20,14,423,0.31678487,0.361702128,0.056737589,0.002364066,0.182033097,0.047281324,0.033096927,222
Praveen Kumar,314,111,102,24,0,22,17,38,0.353503185,0.324840764,0.076433121,0,0.070063694,0.054140127,0.121019108,985,862,160,18,339,104,90,2558,0.385066458,0.336982017,0.062548866,0.007036747,0.13252541,0.040656763,0.035183737,222
Pawan Negi,289,86,108,25,1,27,16,26,0.297577855,0.373702422,0.08650519,0.003460208,0.093425606,0.055363322,0.089965398,203,332,49,0,57,47,34,722,0.281163435,0.459833795,0.067867036,0,0.078947368,0.065096953,0.047091413,18
Prithvi Shaw,424,137,148,21,2,72,19,25,0.323113208,0.349056604,0.049528302,0.004716981,0.169811321,0.044811321,0.058962264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Parthiv Patel,2359,872,812,127,8,365,49,126,0.369648156,0.34421365,0.053836371,0.003391267,0.154726579,0.020771513,0.053412463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Pankaj Singh,12,4,5,1,0,0,0,2,0.333333333,0.416666667,0.083333333,0,0,0,0.166666667,100,104,17,5,52,17,11,306,0.326797386,0.339869281,0.055555556,0.016339869,0.169934641,0.055555556,0.035947712,222
Parvez Rasool,20,5,11,1,0,1,0,2,0.25,0.55,0.05,0,0.05,0,0.1,56,93,12,0,22,11,4,198,0.282828283,0.46969697,0.060606061,0,0.111111111,0.055555556,0.02020202,222
Paul Valthaty,418,194,101,20,0,61,20,22,0.464114833,0.241626794,0.04784689,0,0.145933014,0.04784689,0.052631579,37,71,12,1,15,7,7,150,0.246666667,0.473333333,0.08,0.006666667,0.1,0.046666667,0.046666667,222
Paul Collingwood,156,52,66,10,1,9,13,5,0.333333333,0.423076923,0.064102564,0.006410256,0.057692308,0.083333333,0.032051282,19,51,8,0,4,3,5,90,0.211111111,0.566666667,0.088888889,0,0.044444444,0.033333333,0.055555556,222
Pat Cummins,55,14,19,7,0,5,4,6,0.254545455,0.345454545,0.127272727,0,0.090909091,0.072727273,0.109090909,101,150,30,0,47,16,17,361,0.279778393,0.415512465,0.083102493,0,0.130193906,0.04432133,0.047091413,6
Pradeep Sangwan,39,14,14,3,0,1,0,7,0.358974359,0.358974359,0.076923077,0,0.025641026,0,0.179487179,263,307,62,1,117,43,35,828,0.31763285,0.370772947,0.074879227,0.001207729,0.141304348,0.051932367,0.042270531,222
Piyush Chawla,524,179,189,34,1,54,18,49,0.341603053,0.360687023,0.064885496,0.001908397,0.103053435,0.034351145,0.09351145,951,1298,237,9,303,171,149,3118,0.305003207,0.416292495,0.076010263,0.002886466,0.097177678,0.054842848,0.047787043,2
Pragyan Ojha,45,18,14,1,0,0,0,12,0.4,0.311111111,0.022222222,0,0,0,0.266666667,578,848,133,7,146,96,89,1897,0.304691618,0.447021613,0.070110701,0.003690037,0.076963627,0.05060622,0.046916183,222
Prithvi Shaw,91,36,28,8,0,9,2,8,0.395604396,0.307692308,0.087912088,0,0.098901099,0.021978022,0.087912088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Peter Handscomb,12,5,6,0,0,0,0,1,0.416666667,0.5,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
