player,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob,Present_league
Ankit Sharma,109,27,43,9,0,11,9,10,0.247706422,0.394495413,0.082568807,0,0.100917431,0.082568807,0.091743119,125,169,25,4,29,19,13,384,0.325520833,0.440104167,0.065104167,0.010416667,0.075520833,0.049479167,0.033854167,222
Ankit Soni,9,5,1,0,0,0,1,2,0.555555556,0.111111111,0,0,0,0.111111111,0.222222222,35,48,11,0,8,7,2,111,0.315315315,0.432432432,0.099099099,0,0.072072072,0.063063063,0.018018018,222
Anureet Singh,47,18,22,0,0,2,1,4,0.382978723,0.468085106,0,0,0.042553191,0.021276596,0.085106383,121,158,29,3,64,22,18,415,0.291566265,0.380722892,0.069879518,0.007228916,0.154216867,0.053012048,0.043373494,222
Aditya Tare,273,106,72,19,1,40,11,24,0.388278388,0.263736264,0.06959707,0.003663004,0.146520147,0.04029304,0.087912088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
Axar Patel,630,155,304,47,0,47,35,42,0.246031746,0.482539683,0.074603175,0,0.074603175,0.055555556,0.066666667,489,811,109,3,138,89,71,1710,0.285964912,0.474269006,0.06374269,0.001754386,0.080701754,0.052046784,0.041520468,6
Ankit Rajpoot,31,17,7,1,0,2,0,4,0.548387097,0.225806452,0.032258065,0,0.064516129,0,0.129032258,139,156,23,3,71,18,22,432,0.321759259,0.361111111,0.053240741,0.006944444,0.164351852,0.041666667,0.050925926,222
Ambati Rayudu,2620,795,1157,154,1,278,120,115,0.303435115,0.441603053,0.058778626,0.000381679,0.10610687,0.045801527,0.04389313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Avesh Khan,3,2,0,0,0,1,0,0,0.666666667,0,0,0,0.333333333,0,0,56,53,4,0,22,18,5,158,0.35443038,0.335443038,0.025316456,0,0.139240506,0.113924051,0.03164557,222
Azhar Mahmood,303,97,116,19,0,39,13,19,0.320132013,0.382838284,0.062706271,0,0.128712871,0.04290429,0.062706271,170,219,33,1,71,18,29,541,0.314232902,0.404805915,0.060998152,0.001848429,0.131238447,0.033271719,0.053604436,222
Balachandra Akhil,55,18,16,5,0,5,5,6,0.327272727,0.290909091,0.090909091,0,0.090909091,0.090909091,0.109090909,54,88,14,0,18,9,6,189,0.285714286,0.465608466,0.074074074,0,0.095238095,0.047619048,0.031746032,222
