Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average
1,Manan Vohra ,23.53,131.77,0,0
2,Shikhar Dhawan ,33.17,124.78,0,0
3,Ishan Kishan,21.06,130.89,0,0
4,Ben Stokes ,22.68,132.02,8.26,31.08
5,Glenn Maxwell,22.9,161.13,8.73,38.19
6,Dwayne Bravo ,23.17,128.29,8.4,24.61
7,Isuru Udana,19.17,144.65,8.69,31.92
8,Mitchell Starc,13.71,97.96,7.17,20.38
9,Shreyas Gopal ,14.11,107.63,7.5,19.37
10,Mohammad Shami ,6,101.89,8.99,38.67
11,Yuzvendra Chahal,4.2,43.75,7.78,23.18
