Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average
1,Shane Watson,31.09,139.54,7.93,29.15
2,Ambati Rayudu,28.7,125.95,0,0
3,Suresh Raina,33.34,137.11,7.43,44.72
4,Kedar Jadhav,22.96,126.49,0,0
5,Ravindra Jadeja,24.09,122.66,7.58,29.19
6,MS Dhoni,42.21,137.85,0,0
7, Dwayne Bravo,23.17,128.29,8.4,24.61
8, Deepak Chahar,11.83,161.36,7.63,26.52
9, Shardul Thakur,7.2,171.43,9.04,29.58
10,Harbhajan Singh,15.07,138.17,7.05,26.45
11,Imran Tahir,5,74.07,7.88,20.39
