player,actual_name
JR Hopes,NULL
JW Hastings,NULL
K Ahmed,Khaleel Ahmed
K Goel,NULL
K Gowtham,Krishnappa Gowtham
K Khejroliya,Kulwant Khejroliya
K Paul,Keemo Paul
K Rabada,Kagiso Rabada
K Santokie,NULL
K Upadhyay,NULL
KA Pollard,Kieron Pollard
KAJ Roach,Kemar Roach
Kamran Akmal,NULL
Kamran Khan,NULL
Karanveer Singh,NULL
KB Arun Karthik,NULL
KC Cariappa,NULL
KC Sangakkara,Kumar Sangakkara
KD Karthik,Dinesh Karthik
KH Pandya,Krunal Pandya
KJ Abbott,Kyle Abbott
KK Cooper,Kevon Cooper
KK Nair,Karun Nair
KL Rahul,KL Rahul
KM Asif,NULL
KM Jadhav,Kedar Jadhav
KMDN Kulasekara,NULL
KP Appanna,NULL
KP Pietersen,Kevin Pietersen
KS Williamson,Kane Williamson
Kuldeep Yadav,Kuldeep Yadav
KV Sharma,Karn Sharma
KW Richardson,Kane Richardson
L Ablish,NULL
L Balaji,NULL
L Ferguson,NULL
L Livingstone,Liam Livingstone
L Ngidi,Lungisani Ngidi
L Plunkett,Liam Plunkett
L Ronchi,Luke Ronchi
LA Carseldine,NULL
LA Pomersbach,NULL
LH Ferguson,Lockie Ferguson
LJ Wright,Luke Wright
LMP Simmons,Lendyl Simmons
LPC Silva,NULL
LR Shukla,NULL
LRPL Taylor,Ross Taylor
M Ali,Moeen Ali
M Ashwin,Murugan Ashwin
M de Lange,Merchant de Lange 
M Kaif,NULL
M Kartik,Murali Kartik
M Klinger,Michael Klinger
M Lomror,NULL
M Manhas,Mitun Manhas
M Markande,Mayank Markande
M Morkel,Morne Morkel
M Muralitharan,Muttiah Muralitharan
M Ntini,Makhaya Ntini
M Rawat,NULL
M Santner,Mitchell Santner
M Ur Rahman,Mujeeb Ur Rahman
M Vijay,Murali Vijay
M Vohra,Manan Vohra
M Wood,Mark Wood
MA Agarwal,Mayank Agarwal
MA Khote,NULL
MA Starc,Mitchell Starc
Mandeep Singh,Mandeep Singh
Mashrafe Mortaza,Mashrafe Mortaza
MB Parmar,NULL
MC Henriques,Moises Henriques
MC Juneja,NULL
MD Mishra,NULL
MDKJ Perera,Kusal Perera
MEK Hussey,Michael Hussey
MF Maharoof,Farvez Maharoof
MG Johnson,Mitchell Johnson
MG Neser,Michael Neser
Misbah-ul-Haq,Misbah-ul-Haq
MJ Clarke,Michael clarke
MJ Guptill,Matin Guptill
MJ Henry,Matt Henry
MJ Lumb,NULL
MJ McClenaghan,Mitch McClenaghan
MK Pandey,Manish Pandey
MK Tiwary,Manoj Tiwary
ML Hayden,Matthew Hayden
MM Patel,Munaf Patel
MM Sharma,Mohit Sharma
MN Samuels,Marlon Samuels
MN van Wyk,Morne van Wyk
Mohammad Ashraful,Mohammad Ashraful
Mohammad Asif,Mohammad Asif
Mohammad Hafeez,Mohammad Hafeez
Mohammad Nabi,Mohammad Nabi
Mohammed Shami,Mohammed Shami
Mohammed Siraj,Mohammed Siraj
MP Stoinis,Marcus Stoinis
MR Marsh,Mitchell Marsh
MS Bisla,Maninder Bisla
MS Dhoni,Mahendra Singh Dhoni
MS Gony,NULL
MS Wade,Mathhew Wade
Mustafizur Rahman,Mustafizur Rahman
MV Boucher,NULL
N Naik,Nikhil Naik
N Pooran,Nicholas Pooran
N Rana,Nithish Rana
N Saini,Navdeep Saini
NB Singh,NULL
ND Doshi,NULL
Niraj Patel,NULL
NJ Maddinson,Nic Maddinson
NJ Rimmington,NULL
NL McCullum,NULL
NLTC Perera,Thisara Perera
NM Coulter-Nile,Nathan Counter Nile
NS Naik,NULL
NV Ojha,Naman Ojha
O Thomas,Oshane Thomas
OA Shah,NULL
P Amarnath,NULL
P Awana,Parvinder Awana
P Chopra,NULL
P Dogra,NULL
P Krishna,Prasidh Krishna
P Kumar,Praveen Kumar
P Negi,Pawan Negi
P Parameswaran,NULL
P Prasanth,NULL
P R Barman,NULL
P Raj,NULL
P Sahu,NULL
P Shaw,Prtihvi Shaw
P Suyal,NULL
PA Patel,Parthiv Patel
PA Reddy,NULL
Pankaj Singh,Pankaj Singh
Parvez Rasool,Parvez Rasool
PC Valthaty,Paul Valthaty
PD Collingwood,Paul Collingwood
PJ Cummins,Pat Cummins
PJ Sangwan,Pradeep Sangwan
PM Sarvesh Kumar,NULL
PP Chawla,Piyush Chawla
PP Ojha,Pragyan Ojha
PR Shah,Prithvi Shaw
PSP Handscomb,Peter Handscomb
PV Tambe,Pravin Tambe
Q de Kock,Quinton de Kock
R Ashwin,Ravichandran Ashwin
R Bhatia,Rajat Bhatia
R Bhui,Ricky Bhui
R Bishnoi,Ravi Bishnoi
R Dhawan,Rishi Dhawan
R Dravid,Rahul Dravid
R McLaren,Ryan McLaren
R Ninan,NULL
R Parag,Riyan Parag
R Rampaul,Ravi Rampaul
R Salam,NULL
R Sathish,NULL
R Sharma,Rahul Sharma 
R Shukla,NULL
R Singh,Rinku Singh 
R Tewatia,Rahul Tewatia
R Vinay Kumar,Vinay Kumar
RA Jadeja,Ravindra Jadeja
RA Shaikh,NULL
RA Tripathi,Rahul Tripathi
Rashid Khan,Rashid Khan
RD Chahar,Rahul Chahar
RE Levi,Richard Levi
RE van der Merwe,NULL
RG More,NULL
RG Sharma,Rohit Sharma
RJ Harris,Ryan Harris
RJ Peterson,Robin Peterson
RJ Quiney,Rob Quiney
RN ten Doeschate,Ryan ten Doeschate
RP Singh,RP Singh
RR Bhatkal,NULL
RR Bose,NULL
RR Pant,Rishab Pant
RR Powar,Ramesh Powar 
RR Raje,NULL
RR Rossouw,Rilee Rossouw
RR Sarwan,Ramnaresh Sarwan
RS Bopara,Ravi Bopara
RS Gavaskar,Rohan Gavaskar
RS Sodhi,NULL
RT Ponting,Ricky Ponting
RV Gomez,NULL
RV Uthappa,Robin Uthappa
RW Price,NULL
S Anirudha,Sreekanth Anirudha
S Aravind,Sreenath Aravind
S Badree,Samuel Badree
S Badrinath,Subramaniyam Badrinath
S Chanderpaul,Shivnarine Chanderpaul
S Curran,Sam Curran
S Dhawan,Shikhar Dhawan
S Dube,Shivam Dube
S Gill,Shubman Gill
S Gopal,Shreyas Gopal
S Hetmyer,Shimron Hetmyer
S Kaul,Siddharth Kaul
S Kaushik,Shivil Kaushik
S Kuggeleijn,Scott kuggeleijn
S Ladda,NULL
S Lamichhane,Sandeep Lamichhane
S Mavi,Shivam Mavi
S Midhun,NULL
S Nadeem,Shadab Nadeem
S Narwal,NULL
S Rana,NULL
S Randiv,Suraj Randiv
S Rutherford,Sherfane Rutherford
S Sharma,Sandeep Sharma
S Singh,NULL
S Sohal,NULL
S Sreesanth,S Sreesanth
S Sriram,NULL
S Tyagi,Sudeep Tyagi
S Vidyut,NULL
S Warrier,Sachin Warrior
SA Abbott,Sean Abott
SA Asnodkar,Swapnil Asnodkar
SA Yadav,Surya Kumar Yadav
Sachin Baby,Sachin Baby
Salman Butt,Salman Butt
Sandeep Sharma,Sandeep Sharma
SB Bangar,Sanjay Bangar
SB Jakati,Shadab Jakati
SB Joshi,NULL
SB Styris,Scott Styris
SB Wagh,NULL
SC Ganguly,Sourav Ganguly 
SD Chitnis,NULL
SD Lad,Siddhesh Lad
SE Bond,Shane Bond
SE Marsh,Shaun Marsh
Shahid Afridi,Shahid Afridi
Shakib Al Hasan,Shakib Al Hasan
Shivam Sharma,Shivam Sharma
Shoaib Ahmed,Shoaib Ahmed
Shoaib Akhtar,Shoaib Akhtar
Shoaib Malik,Shoaib Malik
SJ Srivastava,NULL
SK Raina,Suresh Raina
SK Trivedi,Siddharth Trivedi
SK Warne,Shane Warne
SL Malinga,Lasith Malinga
SM Boland,Scott Boland
SM Harwood,NULL
SM Katich,Simon Katich
SM Pollock,Shaun Pollock
SMSM Senanayake,Sachitra Senanayake
SN Khan,Sarfraz Khan
SN Thakur,Shardul Thakur
Sohail Tanvir,Sohail Tanvir
SP Fleming,Stephen Fleming
SP Goswami,Shreewats Goswami
SP Jackson,Sheldon Jackson
SP Narine,Sunil Narine
SPD Smith,Steven Smith
SR Tendulkar,Sachin Tendulkar
SR Watson,Shane Watson
SS Agarwal,NULL
SS Iyer,Shreyas Iyer
SS Mundhe,NULL
SS Sarkar,Sowmya Sarkar
SS Shaikh,NULL
SS Tiwary,Sourabh Tiwary
ST Jayasuriya,Sanath Jayasuriya
STR Binny,Stuart Binny
Sunny Gupta,Sunny Gupta
Sunny Singh,Sunny Singh
SV Samson,Sanju Samson
SW Billings,Sam Billings
SW Tait,Shaun Tait
Swapnil Singh,Swapnil Singh
T Curran,Tom Curran
T Henderson,NULL
T Kohli,NULL
T Natarajan,T Natarajan
T Shamsi,Tarbaiz Shamsi
T Taibu,Tatenda Taibu
T Thushara,NULL
TA Boult,Trent Boult
TD Paine,Tim Paine
Tejas Baroka,NULL
TG Southee,Tim Southee
TL Suman,Tirumala Setty Suman
TM Dilshan,Tilakaratne Dilshan
TM Head,Travis Head
TM Srivastava,NULL
TP Sudhindra,NULL
TR Birt,Travis Birt
TS Mills,Tymal Mills
U Kaul,NULL
UA Birla,NULL
UBT Chand,Unmukt Chand
Umar Gul,Umar Gul
UT Khawaja,Usman Khawaja
UT Yadav,Umesh Yadav
V Chakravarthy,Varun Chakravarthy
V Kohli,Virat Kohli
V Pratap Singh,Veer Pratap Singh
V Sehwag,Virender Sehwag
V Shankar,Vijay Shankar
VH Zol,NULL
Vishnu Vinod,Vishnu Vinod
VR Aaron,Varun Aaron
VRV Singh,VRV Singh
VS Malik,NULL
VS Yeligati,NULL
VVS Laxman,VVS Laxman
VY Mahesh,NULL
W Jaffer,NULL
WA Mota,NULL
Washington Sundar,Washington Sundar
WD Parnell,Wayne Parnell
WP Saha,Wriddhiman Saha
WPUJC Vaas,NULL
X Thalaivan Sargunam,NULL
Y Gnaneswara Rao,NULL
Y Nagar,NULL
Y Venugopal Rao,NULL
YA Abdulla,NULL
Yashpal Singh,Yashpal Singh
YK Pathan,Yusuf Pathan
Younis Khan,Younis Khan
YS Chahal,Yuzvendra Chahal
Yuvraj Singh,Yuvraj Singh
YV Takawale,NULL
Z Khan,Zaheer Khan
