crr_ran,over,wickets_fell,total_Score_range,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
12 to 13,14,0,160 to 170,1,1,0,0,0,1,1,4,0.25,0.25,0,0,0,0.25,0.25
12 to 13,15,1,170 to 180,0,0,0,0,1,1,0,2,0,0,0,0,0.5,0.5,0
12 to 13,15,1,180 to 190,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
12 to 13,16,2,190 to 200,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0
12 to 13,17,2,190 to 200,1,2,0,0,0,0,0,3,0.333333333,0.666666667,0,0,0,0,0
12 to 13,17,2,200 to 210,0,2,0,0,1,1,0,4,0,0.5,0,0,0.25,0.25,0
12 to 13,17,3,190 to 200,0,1,0,0,0,1,0,2,0,0.5,0,0,0,0.5,0
12 to 13,17,3,200 to 210,0,3,0,0,1,0,0,4,0,0.75,0,0,0.25,0,0
12 to 13,18,2,210 to 220,0,2,0,0,2,0,0,4,0,0.5,0,0,0.5,0,0
12 to 13,18,2,220 to 230,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
12 to 13,18,4,210 to 220,0,3,0,0,1,1,0,5,0,0.6,0,0,0.2,0.2,0
12 to 13,18,4,210 to 220,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
12 to 13,18,5,220 to 230,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
12 to 13,19,1,220 to 230,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
12 to 13,19,1,230 to 240,0,0,1,0,0,1,0,2,0,0,0.5,0,0,0.5,0
12 to 13,19,2,220 to 230,1,3,0,0,0,0,0,4,0.25,0.75,0,0,0,0,0
12 to 13,19,2,230 to 240,0,0,1,0,1,0,0,2,0,0,0.5,0,0.5,0,0
12 to 13,19,5,220 to 230,2,3,0,0,1,0,0,6,0.333333333,0.5,0,0,0.166666667,0,0
12 to 13,20,1,230 to 240,0,1,1,0,0,0,0,2,0,0.5,0.5,0,0,0,0
12 to 13,20,1,240 to 250,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
12 to 13,20,2,230 to 240,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
12 to 13,20,2,230 to 240,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
12 to 13,20,2,240 to 250,0,0,0,0,0,1,1,2,0,0,0,0,0,0.5,0.5
12 to 13,20,3,240 to 250,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
12 to 13,20,5,230 to 240,0,1,0,0,0,1,0,2,0,0.5,0,0,0,0.5,0
12 to 13,20,4,240 to 250,0,1,1,0,1,0,1,4,0,0.25,0.25,0,0.25,0,0.25
12 to 13,20,6,230 to 240,0,1,0,0,2,0,0,3,0,0.333333333,0,0,0.666666667,0,0
12 to 13,20,6,240 to 250,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
>13,1,0,0 to 10,2,2,1,0,2,2,0,9,0.222222222,0.222222222,0.111111111,0,0.222222222,0.222222222,0
>13,1,0,10 to 20,4,2,3,1,6,2,0,18,0.222222222,0.111111111,0.166666667,0.055555556,0.333333333,0.111111111,0
>13,1,1,10 to 20,1,0,0,0,1,0,0,2,0.5,0,0,0,0.5,0,0
>13,2,0,10 to 20,3,4,0,0,3,0,0,10,0.3,0.4,0,0,0.3,0,0
>13,2,0,20 to 30,6,8,1,0,11,8,0,34,0.176470588,0.235294118,0.029411765,0,0.323529412,0.235294118,0
>13,2,0,30 to 40,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
>13,2,1,20 to 30,3,3,0,1,0,0,0,7,0.428571429,0.428571429,0,0.142857143,0,0,0
>13,2,2,20 to 30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
>13,3,0,20 to 30,0,0,0,1,1,0,0,2,0,0,0,0.5,0.5,0,0
>13,3,0,30 to 40,5,8,1,0,11,4,0,29,0.172413793,0.275862069,0.034482759,0,0.379310345,0.137931034,0
>13,3,0,40 to 50,3,1,0,0,1,3,0,8,0.375,0.125,0,0,0.125,0.375,0
>13,3,0,30 to 40,5,0,1,1,3,1,1,12,0.416666667,0,0.083333333,0.083333333,0.25,0.083333333,0.083333333
>13,3,0,40 to 50,0,2,0,0,0,0,1,3,0,0.666666667,0,0,0,0,0.333333333
>13,4,0,40 to 50,5,3,0,0,4,2,0,14,0.357142857,0.214285714,0,0,0.285714286,0.142857143,0
>13,4,0,50 to 60,3,6,1,0,1,1,0,12,0.25,0.5,0.083333333,0,0.083333333,0.083333333,0
>13,4,0,40 to 50,3,6,0,0,2,0,1,12,0.25,0.5,0,0,0.166666667,0,0.083333333
>13,4,1,50 to 60,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
>13,4,2,50 to 60,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
>13,4,4,40 to 50,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
>13,4,4,50 to 60,1,0,2,0,0,0,0,3,0.333333333,0,0.666666667,0,0,0,0
>13,4,4,50 to 60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
>13,5,0,50 to 60,3,2,0,0,2,1,0,8,0.375,0.25,0,0,0.25,0.125,0
>13,5,0,60 to 70,4,3,1,1,5,1,0,15,0.266666667,0.2,0.066666667,0.066666667,0.333333333,0.066666667,0
>13,5,0,60 to 70,1,0,1,0,0,0,1,3,0.333333333,0,0.333333333,0,0,0,0.333333333
>13,5,1,70 to 80,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
>13,5,2,50 to 60,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
>13,5,2,60 to 70,2,0,0,0,2,0,0,4,0.5,0,0,0,0.5,0,0
>13,5,5,50 to 60,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
>13,6,0,70 to 80,4,5,1,0,6,1,0,17,0.235294118,0.294117647,0.058823529,0,0.352941176,0.058823529,0
>13,6,0,80 to 90,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
>13,6,1,70 to 80,4,0,0,0,2,0,0,6,0.666666667,0,0,0,0.333333333,0,0
>13,7,0,80 to 90,2,4,0,0,0,1,0,7,0.285714286,0.571428571,0,0,0,0.142857143,0
>13,7,0,90 to 100,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
>13,8,0,100 to 110,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0
>13,8,2,100 to 110,0,0,0,0,1,1,0,2,0,0,0,0,0.5,0.5,0
>13,9,0,110 to 120,1,2,1,0,1,0,0,5,0.2,0.4,0.2,0,0.2,0,0
>13,9,0,120 to 130,0,1,0,0,0,1,0,2,0,0.5,0,0,0,0.5,0
>13,9,1,110 to 120,0,2,0,0,0,2,0,4,0,0.5,0,0,0,0.5,0
>13,9,1,120 to 130,0,1,0,0,0,1,0,2,0,0.5,0,0,0,0.5,0
>13,10,0,120 to 130,1,4,0,0,0,1,0,6,0.166666667,0.666666667,0,0,0,0.166666667,0
>13,10,1,120 to 130,1,2,0,0,1,0,0,4,0.25,0.5,0,0,0.25,0,0
>13,11,0,130 to 140,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
>13,11,0,140 to 150,1,0,0,0,0,2,0,3,0.333333333,0,0,0,0,0.666666667,0
>13,11,0,140 to 150,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
>13,12,1,150 to 160,1,1,0,0,0,1,0,3,0.333333333,0.333333333,0,0,0,0.333333333,0
>13,12,1,150 to 160,0,0,1,0,0,0,1,2,0,0,0.5,0,0,0,0.5
>13,12,2,160 to 170,0,0,1,0,2,0,0,3,0,0,0.333333333,0,0.666666667,0,0
>13,13,2,170 to 180,0,1,0,0,3,0,0,4,0,0.25,0,0,0.75,0,0
>13,13,2,180 to 190,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0
>13,14,2,180 to 190,0,0,2,0,1,0,0,3,0,0,0.666666667,0,0.333333333,0,0
>13,14,2,190 to 200,0,0,0,0,1,1,0,2,0,0,0,0,0.5,0.5,0
>13,14,2,190 to 200,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
>13,15,3,200 to 210,1,2,1,0,1,0,0,5,0.2,0.4,0.2,0,0.2,0,0
>13,15,3,210 to 220,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
>13,18,2,220 to 230,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
>13,18,2,230 to 240,0,1,0,0,1,0,0,2,0,0.5,0,0,0.5,0,0
>13,19,2,230 to 240,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
>13,19,2,240 to 250,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
>13,19,2,250 to 260,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
>13,19,2,250 to 260,0,2,0,0,0,0,1,3,0,0.666666667,0,0,0,0,0.333333333
>13,20,3,250 to 260,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
>13,20,3,260 to 270,0,1,1,0,0,0,0,2,0,0.5,0.5,0,0,0,0
>13,20,3,260 to 270,0,1,0,0,0,0,1,2,0,0.5,0,0,0,0,0.5
>13,20,4,260 to 270,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
5 to 6,1,0,0 to 10,2,4,1,0,2,0,0,9,0.222222222,0.444444444,0.111111111,0,0.222222222,0,0
5 to 6,1,0,0 to 10,2,1,0,0,1,0,2,6,0.333333333,0.166666667,0,0,0.166666667,0,0.333333333
5 to 6,2,0,0 to 10,4,4,3,0,5,2,0,18,0.222222222,0.222222222,0.166666667,0,0.277777778,0.111111111,0
5 to 6,2,0,10 to 20,7,6,2,1,4,3,0,23,0.304347826,0.260869565,0.086956522,0.043478261,0.173913043,0.130434783,0
5 to 6,2,0,0 to 10,4,4,2,0,5,0,4,19,0.210526316,0.210526316,0.105263158,0,0.263157895,0,0.210526316
5 to 6,2,0,10 to 20,6,5,3,1,4,1,3,23,0.260869565,0.217391304,0.130434783,0.043478261,0.173913043,0.043478261,0.130434783
5 to 6,2,1,0 to 10,3,3,0,0,1,0,1,8,0.375,0.375,0,0,0.125,0,0.125
5 to 6,2,1,10 to 20,3,0,2,0,1,0,1,7,0.428571429,0,0.285714286,0,0.142857143,0,0.142857143
5 to 6,3,0,10 to 20,14,17,9,0,16,4,0,60,0.233333333,0.283333333,0.15,0,0.266666667,0.066666667,0
5 to 6,3,0,10 to 20,17,16,8,2,14,4,10,71,0.23943662,0.225352113,0.112676056,0.028169014,0.197183099,0.056338028,0.14084507
5 to 6,3,1,10 to 20,12,8,4,0,4,0,7,35,0.342857143,0.228571429,0.114285714,0,0.114285714,0,0.2
5 to 6,3,2,10 to 20,2,2,0,1,0,0,2,7,0.285714286,0.285714286,0,0.142857143,0,0,0.285714286
5 to 6,4,0,10 to 20,9,9,3,1,7,1,0,30,0.3,0.3,0.1,0.033333333,0.233333333,0.033333333,0
5 to 6,4,0,20 to 30,13,12,1,0,8,1,0,35,0.371428571,0.342857143,0.028571429,0,0.228571429,0.028571429,0
5 to 6,4,0,10 to 20,9,9,6,1,6,1,5,37,0.243243243,0.243243243,0.162162162,0.027027027,0.162162162,0.027027027,0.135135135
5 to 6,4,0,20 to 30,13,14,2,0,10,3,4,46,0.282608696,0.304347826,0.043478261,0,0.217391304,0.065217391,0.086956522
5 to 6,4,1,10 to 20,7,9,2,0,4,1,7,30,0.233333333,0.3,0.066666667,0,0.133333333,0.033333333,0.233333333
5 to 6,4,1,20 to 30,12,9,3,0,5,0,8,37,0.324324324,0.243243243,0.081081081,0,0.135135135,0,0.216216216
5 to 6,4,2,10 to 20,1,2,1,0,0,0,1,5,0.2,0.4,0.2,0,0,0,0.2
5 to 6,4,2,20 to 30,5,2,0,0,1,0,1,9,0.555555556,0.222222222,0,0,0.111111111,0,0.111111111
5 to 6,5,0,20 to 30,24,22,9,0,13,1,0,69,0.347826087,0.31884058,0.130434783,0,0.188405797,0.014492754,0
5 to 6,5,0,30 to 40,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
5 to 6,5,0,20 to 30,28,29,13,2,20,6,8,106,0.264150943,0.273584906,0.122641509,0.018867925,0.188679245,0.056603774,0.075471698
5 to 6,5,1,30 to 40,1,1,0,0,0,0,0,2,0.5,0.5,0,0,0,0,0
5 to 6,5,1,20 to 30,24,23,8,0,16,2,12,85,0.282352941,0.270588235,0.094117647,0,0.188235294,0.023529412,0.141176471
5 to 6,5,2,20 to 30,16,5,2,1,4,1,5,34,0.470588235,0.147058824,0.058823529,0.029411765,0.117647059,0.029411765,0.147058824
5 to 6,5,3,30 to 40,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5 to 6,5,3,20 to 30,3,1,0,0,2,0,1,7,0.428571429,0.142857143,0,0,0.285714286,0,0.142857143
5 to 6,6,0,20 to 30,6,6,1,0,1,0,0,14,0.428571429,0.428571429,0.071428571,0,0.071428571,0,0
5 to 6,6,0,30 to 40,6,8,0,0,3,1,0,18,0.333333333,0.444444444,0,0,0.166666667,0.055555556,0
5 to 6,6,0,20 to 30,9,9,1,0,3,0,1,23,0.391304348,0.391304348,0.043478261,0,0.130434783,0,0.043478261
5 to 6,6,0,30 to 40,23,20,3,0,8,4,3,61,0.37704918,0.327868852,0.049180328,0,0.131147541,0.06557377,0.049180328
5 to 6,6,1,20 to 30,10,10,3,0,4,2,2,31,0.322580645,0.322580645,0.096774194,0,0.129032258,0.064516129,0.064516129
5 to 6,6,1,30 to 40,24,21,9,0,14,1,5,74,0.324324324,0.283783784,0.121621622,0,0.189189189,0.013513514,0.067567568
5 to 6,6,2,20 to 30,7,7,1,0,1,0,2,18,0.388888889,0.388888889,0.055555556,0,0.055555556,0,0.111111111
5 to 6,6,2,30 to 40,14,10,5,0,6,1,5,41,0.341463415,0.243902439,0.12195122,0,0.146341463,0.024390244,0.12195122
5 to 6,6,4,20 to 30,2,1,0,0,1,0,0,4,0.5,0.25,0,0,0.25,0,0
5 to 6,6,3,30 to 40,12,3,1,0,4,0,3,23,0.52173913,0.130434783,0.043478261,0,0.173913043,0,0.130434783
5 to 6,6,4,30 to 40,1,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0.5
5 to 6,7,0,30 to 40,1,4,0,0,2,1,0,8,0.125,0.5,0,0,0.25,0.125,0
5 to 6,7,0,40 to 50,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
5 to 6,7,0,30 to 40,29,33,7,2,10,1,1,83,0.34939759,0.397590361,0.084337349,0.024096386,0.120481928,0.012048193,0.012048193
5 to 6,7,0,40 to 50,3,4,1,0,0,0,1,9,0.333333333,0.444444444,0.111111111,0,0,0,0.111111111
5 to 6,7,1,30 to 40,27,33,4,0,11,0,3,78,0.346153846,0.423076923,0.051282051,0,0.141025641,0,0.038461538
5 to 6,7,2,40 to 50,4,4,0,0,0,0,0,8,0.5,0.5,0,0,0,0,0
5 to 6,7,2,30 to 40,25,24,7,0,10,1,6,73,0.342465753,0.328767123,0.095890411,0,0.136986301,0.01369863,0.082191781
5 to 6,7,2,40 to 50,2,3,0,0,0,0,1,6,0.333333333,0.5,0,0,0,0,0.166666667
5 to 6,7,4,30 to 40,13,5,1,0,0,0,0,19,0.684210526,0.263157895,0.052631579,0,0,0,0
5 to 6,7,3,40 to 50,2,1,0,0,0,0,1,4,0.5,0.25,0,0,0,0,0.25
5 to 6,7,5,30 to 40,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
5 to 6,7,5,40 to 50,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
5 to 6,7,6,30 to 40,1,1,0,0,1,0,0,3,0.333333333,0.333333333,0,0,0.333333333,0,0
5 to 6,8,0,40 to 50,2,1,0,0,0,0,0,3,0.666666667,0.333333333,0,0,0,0,0
5 to 6,8,1,30 to 40,7,8,2,0,1,0,0,18,0.388888889,0.444444444,0.111111111,0,0.055555556,0,0
5 to 6,8,1,40 to 50,24,31,10,0,5,2,0,72,0.333333333,0.430555556,0.138888889,0,0.069444444,0.027777778,0
5 to 6,8,1,30 to 40,7,6,1,0,4,1,1,20,0.35,0.3,0.05,0,0.2,0.05,0.05
5 to 6,8,1,40 to 50,30,33,8,0,8,1,5,85,0.352941176,0.388235294,0.094117647,0,0.094117647,0.011764706,0.058823529
5 to 6,8,2,30 to 40,7,4,0,0,2,0,3,16,0.4375,0.25,0,0,0.125,0,0.1875
5 to 6,8,2,40 to 50,31,27,6,0,7,1,5,77,0.402597403,0.350649351,0.077922078,0,0.090909091,0.012987013,0.064935065
5 to 6,8,4,30 to 40,0,2,1,0,1,0,0,4,0,0.5,0.25,0,0.25,0,0
5 to 6,8,3,40 to 50,16,10,1,0,3,1,3,34,0.470588235,0.294117647,0.029411765,0,0.088235294,0.029411765,0.088235294
5 to 6,8,5,30 to 40,2,1,0,0,1,0,0,4,0.5,0.25,0,0,0.25,0,0
5 to 6,8,4,40 to 50,8,0,1,0,0,0,4,13,0.615384615,0,0.076923077,0,0,0,0.307692308
5 to 6,8,6,30 to 40,2,1,0,0,0,0,0,3,0.666666667,0.333333333,0,0,0,0,0
5 to 6,8,6,40 to 50,0,1,1,0,1,0,0,3,0,0.333333333,0.333333333,0,0.333333333,0,0
5 to 6,9,0,40 to 50,1,3,0,0,0,0,0,4,0.25,0.75,0,0,0,0,0
5 to 6,9,0,50 to 60,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0
5 to 6,9,1,40 to 50,16,30,4,0,4,1,0,55,0.290909091,0.545454545,0.072727273,0,0.072727273,0.018181818,0
5 to 6,9,1,50 to 60,5,5,0,0,2,1,0,13,0.384615385,0.384615385,0,0,0.153846154,0.076923077,0
5 to 6,9,1,40 to 50,31,33,10,0,6,3,3,86,0.360465116,0.38372093,0.11627907,0,0.069767442,0.034883721,0.034883721
5 to 6,9,1,50 to 60,10,14,1,0,2,2,1,30,0.333333333,0.466666667,0.033333333,0,0.066666667,0.066666667,0.033333333
5 to 6,9,2,40 to 50,33,35,12,0,9,1,11,101,0.326732673,0.346534653,0.118811881,0,0.089108911,0.00990099,0.108910891
5 to 6,9,2,50 to 60,11,11,1,0,1,1,3,28,0.392857143,0.392857143,0.035714286,0,0.035714286,0.035714286,0.107142857
5 to 6,9,3,40 to 50,17,16,3,0,4,1,6,47,0.361702128,0.340425532,0.063829787,0,0.085106383,0.021276596,0.127659574
5 to 6,9,3,50 to 60,7,8,0,1,2,0,1,19,0.368421053,0.421052632,0,0.052631579,0.105263158,0,0.052631579
5 to 6,9,4,40 to 50,9,9,1,0,2,1,1,23,0.391304348,0.391304348,0.043478261,0,0.086956522,0.043478261,0.043478261
5 to 6,9,4,50 to 60,5,3,0,0,1,0,1,10,0.5,0.3,0,0,0.1,0,0.1
5 to 6,9,5,40 to 50,4,1,0,0,0,0,1,6,0.666666667,0.166666667,0,0,0,0,0.166666667
5 to 6,9,6,50 to 60,2,2,0,0,0,0,0,4,0.5,0.5,0,0,0,0,0
5 to 6,10,0,50 to 60,0,1,1,0,0,0,0,2,0,0.5,0.5,0,0,0,0
5 to 6,10,1,40 to 50,3,3,1,0,1,0,0,8,0.375,0.375,0.125,0,0.125,0,0
5 to 6,10,1,50 to 60,19,21,0,0,2,1,0,43,0.441860465,0.488372093,0,0,0.046511628,0.023255814,0
5 to 6,10,2,40 to 50,4,9,0,0,0,1,0,14,0.285714286,0.642857143,0,0,0,0.071428571,0
5 to 6,10,1,50 to 60,28,36,5,0,11,2,1,83,0.337349398,0.43373494,0.060240964,0,0.13253012,0.024096386,0.012048193
5 to 6,10,3,40 to 50,8,9,3,0,2,1,0,23,0.347826087,0.391304348,0.130434783,0,0.086956522,0.043478261,0
5 to 6,10,2,50 to 60,43,42,10,0,11,2,5,113,0.380530973,0.371681416,0.088495575,0,0.097345133,0.017699115,0.044247788
5 to 6,10,4,40 to 50,3,9,3,0,0,0,0,15,0.2,0.6,0.2,0,0,0,0
5 to 6,10,3,50 to 60,31,37,2,0,9,1,7,87,0.356321839,0.425287356,0.022988506,0,0.103448276,0.011494253,0.08045977
5 to 6,10,5,40 to 50,4,2,1,0,0,0,0,7,0.571428571,0.285714286,0.142857143,0,0,0,0
5 to 6,10,4,50 to 60,19,16,2,0,1,0,4,42,0.452380952,0.380952381,0.047619048,0,0.023809524,0,0.095238095
5 to 6,10,5,50 to 60,1,2,1,0,0,0,2,6,0.166666667,0.333333333,0.166666667,0,0,0,0.333333333
5 to 6,11,1,50 to 60,5,9,4,0,3,0,0,21,0.238095238,0.428571429,0.19047619,0,0.142857143,0,0
5 to 6,11,1,60 to 70,4,11,1,0,1,0,0,17,0.235294118,0.647058824,0.058823529,0,0.058823529,0,0
5 to 6,11,1,50 to 60,12,21,2,0,4,1,2,42,0.285714286,0.5,0.047619048,0,0.095238095,0.023809524,0.047619048
5 to 6,11,1,60 to 70,16,19,5,0,2,1,1,44,0.363636364,0.431818182,0.113636364,0,0.045454545,0.022727273,0.022727273
5 to 6,11,2,50 to 60,22,29,5,3,9,2,3,73,0.301369863,0.397260274,0.068493151,0.04109589,0.123287671,0.02739726,0.04109589
5 to 6,11,2,60 to 70,18,22,5,0,5,2,1,53,0.339622642,0.41509434,0.094339623,0,0.094339623,0.037735849,0.018867925
5 to 6,11,3,50 to 60,31,31,9,1,7,1,5,85,0.364705882,0.364705882,0.105882353,0.011764706,0.082352941,0.011764706,0.058823529
5 to 6,11,3,60 to 70,11,15,4,0,3,1,3,37,0.297297297,0.405405405,0.108108108,0,0.081081081,0.027027027,0.081081081
5 to 6,11,4,50 to 60,15,12,2,1,0,0,2,32,0.46875,0.375,0.0625,0.03125,0,0,0.0625
5 to 6,11,4,60 to 70,4,3,1,0,1,0,1,10,0.4,0.3,0.1,0,0.1,0,0.1
5 to 6,11,6,50 to 60,4,4,1,0,0,0,0,9,0.444444444,0.444444444,0.111111111,0,0,0,0
5 to 6,11,5,60 to 70,1,1,0,0,0,0,1,3,0.333333333,0.333333333,0,0,0,0,0.333333333
5 to 6,12,1,50 to 60,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
5 to 6,12,1,60 to 70,5,9,2,0,3,1,0,20,0.25,0.45,0.1,0,0.15,0.05,0
5 to 6,12,2,50 to 60,0,5,0,0,0,0,0,5,0,1,0,0,0,0,0
5 to 6,12,2,60 to 70,14,28,7,1,6,1,0,57,0.245614035,0.49122807,0.122807018,0.01754386,0.105263158,0.01754386,0
5 to 6,12,2,70 to 80,1,2,0,0,1,0,0,4,0.25,0.5,0,0,0.25,0,0
5 to 6,12,3,50 to 60,2,1,0,0,1,0,0,4,0.5,0.25,0,0,0.25,0,0
5 to 6,12,2,60 to 70,32,43,9,0,9,2,3,98,0.326530612,0.43877551,0.091836735,0,0.091836735,0.020408163,0.030612245
5 to 6,12,2,70 to 80,2,1,0,1,1,0,1,6,0.333333333,0.166666667,0,0.166666667,0.166666667,0,0.166666667
5 to 6,12,3,50 to 60,5,9,3,0,1,0,1,19,0.263157895,0.473684211,0.157894737,0,0.052631579,0,0.052631579
5 to 6,12,3,60 to 70,28,36,10,0,10,0,4,88,0.318181818,0.409090909,0.113636364,0,0.113636364,0,0.045454545
5 to 6,12,4,70 to 80,3,3,0,0,1,0,0,7,0.428571429,0.428571429,0,0,0.142857143,0,0
5 to 6,12,4,50 to 60,1,2,0,0,2,0,1,6,0.166666667,0.333333333,0,0,0.333333333,0,0.166666667
5 to 6,12,4,60 to 70,17,13,1,1,5,1,3,41,0.414634146,0.317073171,0.024390244,0.024390244,0.12195122,0.024390244,0.073170732
5 to 6,12,5,70 to 80,3,1,0,0,0,0,0,4,0.75,0.25,0,0,0,0,0
5 to 6,12,6,50 to 60,0,1,1,0,0,1,0,3,0,0.333333333,0.333333333,0,0,0.333333333,0
5 to 6,12,6,60 to 70,6,3,1,0,1,1,0,12,0.5,0.25,0.083333333,0,0.083333333,0.083333333,0
5 to 6,12,6,60 to 70,4,3,0,0,0,0,2,9,0.444444444,0.333333333,0,0,0,0,0.222222222
5 to 6,13,1,60 to 70,4,2,0,0,0,0,0,6,0.666666667,0.333333333,0,0,0,0,0
5 to 6,13,1,70 to 80,1,3,1,0,0,0,0,5,0.2,0.6,0.2,0,0,0,0
5 to 6,13,2,60 to 70,4,10,0,0,2,0,0,16,0.25,0.625,0,0,0.125,0,0
5 to 6,13,2,70 to 80,11,13,4,0,1,3,0,32,0.34375,0.40625,0.125,0,0.03125,0.09375,0
5 to 6,13,3,60 to 70,17,28,3,0,0,2,0,50,0.34,0.56,0.06,0,0,0.04,0
5 to 6,13,2,70 to 80,15,17,9,0,6,3,2,52,0.288461538,0.326923077,0.173076923,0,0.115384615,0.057692308,0.038461538
5 to 6,13,3,60 to 70,21,25,6,0,4,3,2,61,0.344262295,0.409836066,0.098360656,0,0.06557377,0.049180328,0.032786885
5 to 6,13,3,70 to 80,21,36,4,0,5,0,3,69,0.304347826,0.52173913,0.057971014,0,0.072463768,0,0.043478261
5 to 6,13,4,60 to 70,14,8,4,0,2,0,3,31,0.451612903,0.258064516,0.129032258,0,0.064516129,0,0.096774194
5 to 6,13,4,70 to 80,18,17,1,0,2,1,1,40,0.45,0.425,0.025,0,0.05,0.025,0.025
5 to 6,13,5,60 to 70,6,8,1,0,2,1,3,21,0.285714286,0.380952381,0.047619048,0,0.095238095,0.047619048,0.142857143
5 to 6,13,5,70 to 80,1,0,0,0,0,0,2,3,0.333333333,0,0,0,0,0,0.666666667
5 to 6,13,7,60 to 70,4,7,0,0,1,0,0,12,0.333333333,0.583333333,0,0,0.083333333,0,0
5 to 6,14,1,70 to 80,2,3,0,0,1,0,0,6,0.333333333,0.5,0,0,0.166666667,0,0
5 to 6,14,2,70 to 80,7,9,0,0,2,0,0,18,0.388888889,0.5,0,0,0.111111111,0,0
5 to 6,14,2,80 to 90,1,2,0,0,2,1,0,6,0.166666667,0.333333333,0,0,0.333333333,0.166666667,0
5 to 6,14,3,60 to 70,3,2,0,0,0,0,0,5,0.6,0.4,0,0,0,0,0
5 to 6,14,2,70 to 80,16,26,11,0,9,2,1,65,0.246153846,0.4,0.169230769,0,0.138461538,0.030769231,0.015384615
5 to 6,14,3,80 to 90,8,8,2,0,1,1,0,20,0.4,0.4,0.1,0,0.05,0.05,0
5 to 6,14,3,60 to 70,5,1,0,0,1,1,1,9,0.555555556,0.111111111,0,0,0.111111111,0.111111111,0.111111111
5 to 6,14,3,70 to 80,27,33,2,0,10,4,2,78,0.346153846,0.423076923,0.025641026,0,0.128205128,0.051282051,0.025641026
5 to 6,14,3,80 to 90,9,9,3,1,1,1,1,25,0.36,0.36,0.12,0.04,0.04,0.04,0.04
5 to 6,14,5,60 to 70,1,7,0,0,1,0,0,9,0.111111111,0.777777778,0,0,0.111111111,0,0
5 to 6,14,4,70 to 80,20,25,4,0,5,2,6,62,0.322580645,0.403225806,0.064516129,0,0.080645161,0.032258065,0.096774194
5 to 6,14,5,80 to 90,2,4,1,0,2,0,0,9,0.222222222,0.444444444,0.111111111,0,0.222222222,0,0
5 to 6,14,6,60 to 70,2,5,2,0,0,0,0,9,0.222222222,0.555555556,0.222222222,0,0,0,0
5 to 6,14,5,70 to 80,20,16,3,0,3,2,7,51,0.392156863,0.31372549,0.058823529,0,0.058823529,0.039215686,0.137254902
5 to 6,14,7,60 to 70,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0
5 to 6,14,6,70 to 80,2,3,0,0,0,0,1,6,0.333333333,0.5,0,0,0,0,0.166666667
5 to 6,14,7,60 to 70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
5 to 6,14,7,80 to 90,1,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0.5
5 to 6,15,1,80 to 90,0,2,1,1,0,0,0,4,0,0.5,0.25,0.25,0,0,0
5 to 6,15,2,70 to 80,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
