crr_ran,over,wickets_fell,total_Score_range,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
0 to 5,4,1,10 to 20,46,35,3,1,11,1,12,109,0.422018349,0.321100917,0.027522936,0.009174312,0.100917431,0.009174312,0.110091743
0 to 5,4,2,20 to 30,0,2,0,0,1,0,0,3,0,0.666666667,0,0,0.333333333,0,0
0 to 5,4,2,0 to 10,7,3,0,0,0,0,1,11,0.636363636,0.272727273,0,0,0,0,0.090909091
0 to 5,4,2,10 to 20,30,11,0,0,3,0,6,50,0.6,0.22,0,0,0.06,0,0.12
0 to 5,4,3,0 to 10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0 to 5,4,3,10 to 20,10,2,0,0,2,0,2,16,0.625,0.125,0,0,0.125,0,0.125
0 to 5,5,0,10 to 20,9,7,1,1,2,0,0,20,0.45,0.35,0.05,0.05,0.1,0,0
0 to 5,5,0,20 to 30,6,4,0,0,2,0,0,12,0.5,0.333333333,0,0,0.166666667,0,0
0 to 5,5,1,0 to 10,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0
0 to 5,5,0,10 to 20,21,20,3,0,8,0,1,53,0.396226415,0.377358491,0.056603774,0,0.150943396,0,0.018867925
0 to 5,5,0,20 to 30,19,17,3,0,9,3,3,54,0.351851852,0.314814815,0.055555556,0,0.166666667,0.055555556,0.055555556
0 to 5,5,2,0 to 10,3,0,0,0,1,0,0,4,0.75,0,0,0,0.25,0,0
0 to 5,5,1,10 to 20,34,27,5,0,6,0,3,75,0.453333333,0.36,0.066666667,0,0.08,0,0.04
0 to 5,5,1,20 to 30,20,20,1,1,9,2,7,60,0.333333333,0.333333333,0.016666667,0.016666667,0.15,0.033333333,0.116666667
0 to 5,5,3,0 to 10,1,1,0,0,0,0,0,2,0.5,0.5,0,0,0,0,0
0 to 5,5,2,10 to 20,23,8,3,0,4,1,4,43,0.534883721,0.186046512,0.069767442,0,0.093023256,0.023255814,0.093023256
0 to 5,5,2,20 to 30,13,8,1,0,5,0,4,31,0.419354839,0.258064516,0.032258065,0,0.161290323,0,0.129032258
0 to 5,5,3,10 to 20,9,5,1,0,2,0,3,20,0.45,0.25,0.05,0,0.1,0,0.15
0 to 5,5,3,20 to 30,6,0,1,0,1,0,1,9,0.666666667,0,0.111111111,0,0.111111111,0,0.111111111
0 to 5,5,4,10 to 20,2,0,0,0,0,0,1,3,0.666666667,0,0,0,0,0,0.333333333
0 to 5,6,0,10 to 20,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0
0 to 5,6,0,20 to 30,3,3,0,0,1,0,0,7,0.428571429,0.428571429,0,0,0.142857143,0,0
0 to 5,6,0,10 to 20,5,5,0,0,0,0,1,11,0.454545455,0.454545455,0,0,0,0,0.090909091
0 to 5,6,1,20 to 30,23,21,4,0,7,0,0,55,0.418181818,0.381818182,0.072727273,0,0.127272727,0,0
0 to 5,6,1,10 to 20,10,7,0,0,1,0,1,19,0.526315789,0.368421053,0,0,0.052631579,0,0.052631579
0 to 5,6,1,20 to 30,36,31,5,0,13,2,8,95,0.378947368,0.326315789,0.052631579,0,0.136842105,0.021052632,0.084210526
0 to 5,6,2,10 to 20,7,4,1,0,0,0,1,13,0.538461538,0.307692308,0.076923077,0,0,0,0.076923077
0 to 5,6,2,20 to 30,38,24,6,0,12,0,9,89,0.426966292,0.269662921,0.06741573,0,0.134831461,0,0.101123596
0 to 5,6,4,10 to 20,3,1,1,0,0,0,0,5,0.6,0.2,0.2,0,0,0,0
0 to 5,6,3,20 to 30,14,11,0,0,6,0,5,36,0.388888889,0.305555556,0,0,0.166666667,0,0.138888889
0 to 5,6,4,10 to 20,3,0,0,0,0,0,1,4,0.75,0,0,0,0,0,0.25
0 to 5,6,5,20 to 30,2,3,0,0,3,0,0,8,0.25,0.375,0,0,0.375,0,0
0 to 5,7,0,30 to 40,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
