,Player,Owner,Innings,Not Outs,Orange Cap,Balls Faced,Highest,50,100,6s,4s
92,Kane Richardson,Ravi,10,5,71,53,20,0,0,3,2
93,Marcus Stoinis,Kaushik,6,1,70,49,28,0,0,2,5
95,Stuart Binny,Girish,8,3,67,42,25,0,0,2,4
96,David WIlley,Dk,7,0,66,44,37,0,0,2,7
97,Hanuma Vihari,Dk,7,3,61,37,32,0,0,1,5
98,Carlos Brathwaite,KB,6,1,61,43,38,0,0,1,6
99,Isuru Udana,Kaushik,5,0,59,30,30,0,0,3,6
8,Chris Woakes,Sumanth,7,1,57,41,18,0,0,0,4
101,Rahul Chahar,SBK,6,2,56,39,15,0,0,0,6
102,Eoin Morgan,Murali,5,1,54,37,22,0,0,1,3
103,Hardus Viljoen,Chaitu,8,2,51,36,16,0,0,3,1
104,Piyush Chawla,Girish,7,2,51,32,23,0,0,3,3
7,Andile Phehlukwayo,Ganesh,7,5,49,33,17,0,0,0,3
105,Ravindra Jadeja,Murali,6,1,47,38,15,0,0,2,0
106,Axar Patel,Subhash,8,1,46,41,13,0,0,1,2
107,Sanju Samson,KB,6,0,45,40,20,0,0,1,3
108,Colin De Grandhomme,SBK,4,0,45,35,16,0,0,1,3
109,Karn Sharma,SBK,6,1,43,40,20,0,0,0,4
110,Andrew Tye,Subhash,7,1,43,36,18,0,0,1,4
111,Lasith Malinga,Ravi,8,3,42,25,9,0,0,2,2
113,Rashid Khan,KB,4,1,41,18,19,0,0,4,1
114,Kagiso Rabada,Dinesh,7,2,41,27,31,0,0,1,3
115,Daniel Christian,Girish,7,2,39,27,16,0,0,2,1
116,Sreenath Aravind,Aditya,7,2,39,35,10,0,0,0,2
119,Mitchell Marsh,SBK,6,1,37,36,18,0,0,1,3
120,Mohammad Shami,Murali,4,3,37,26,17,0,0,0,3
118,Sachin Baby,Kaushik,6,2,37,33,21,0,0,1,4
117,Dale Steyn,Rahul,5,2,37,27,13,0,0,1,2
121,Keemo Paul,KB,4,2,36,23,12,0,0,1,3
123,Trent Boult,Murali,5,3,35,23,11,0,0,3,0
122,Kedar Jadhav,Rahul,4,0,35,30,29,0,0,0,4
9,Mohit Sharma,Sumanth,9,5,34,23,12,0,0,2,1
124,Imran Tahir,Dinesh,7,0,33,32,9,0,0,0,2
125,Vinay Kumar,Ravi,9,4,33,21,8,0,0,1,3
126,Jofra Archer,Girish,6,2,33,27,19,0,0,1,2
127,Shahbaz Nadeem,Subhash,6,3,32,26,15,0,0,0,1
129,Mitchell Starc,KB,3,2,28,23,12,0,0,0,2
130,Yuzvendra Chahal,Chaitu,5,1,27,26,14,0,0,0,0
131,Kuldeep Yadav,Subhash,4,3,26,20,18,0,0,1,2
132,Harshal Patel,KB,5,3,25,16,15,0,0,1,1
133,Adam Zampa,Aditya,5,1,24,15,9,0,0,0,3
8,Jaydev Unadkat,Ganesh,3,2,23,12,11,0,0,1,1
135,Bhuvneshwar Kumar,Subhash,7,3,22,19,6,0,0,0,1
136,Deepak Hooda,Rahul,3,1,20,22,11,0,0,0,0
137,Billy Stanlake,Dk,7,3,19,17,12,0,0,1,0
138,Mitchell Santner,Rahul,4,1,18,12,7,0,0,0,3
139,Mitchell McClenaghan,Girish,4,0,16,16,8,0,0,0,2
140,Navdeep Saini,Chaitu,5,3,13,14,6,0,0,0,1
141,Jayant Yadav,SBK,4,1,12,15,8,0,0,0,0
142,Sandeep Sharma,Dinesh,7,3,12,17,7,0,0,0,0
143,Jasprit Bumrah,Aditya,5,2,11,9,8,0,0,1,0
144,Lungisani Ngidi,SBK,3,1,10,11,6,0,0,0,0
145,Siddarth Kaul,Dinesh,5,1,10,11,4,0,0,0,1
147,Mujeeb Ur Rahman,Murali,2,0,9,10,6,0,0,0,0
146,Nathan Coulter-Nile,Kaushik,2,1,9,4,8,0,0,1,0
9,Dhawal Kulkarni,Ganesh,3,1,7,4,6,0,0,1,0
149,Lockie Ferguson,Murali,2,2,6,7,3,0,0,0,0
10,Mayank Markhande,Sumanth,4,0,6,8,2,0,0,0,0
150,Shreyas Gopal,Kaushik,2,1,5,4,5,0,0,0,1
151,Mustafizur Rahman,Chaitu,4,1,4,8,4,0,0,0,0
10,Sheldon Cottrell,Ganesh,2,0,1,4,1,0,0,0,0
