batsman,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
Brad Hodge,1118,362,452,89,8,122,43,42,0.3237924865831843,0.4042933810375671,0.07960644007155633,0.007155635062611806,0.10912343470483003,0.038461538461538464,0.03756708407871199
Ben Rohrer,140,45,48,14,1,21,5,6,0.32142857142857145,0.3428571428571429,0.1,0.0071428571428571435,0.15,0.03571428571428571,0.042857142857142864
Jeevan Mendis,27,5,15,4,0,0,0,3,0.1851851851851852,0.5555555555555556,0.14814814814814814,0.0,0.0,0.0,0.1111111111111111
Ben Dunk,35,16,6,3,0,7,0,3,0.4571428571428571,0.17142857142857146,0.08571428571428573,0.0,0.2,0.0,0.08571428571428573
Colin de Grandhomme,225,67,91,16,0,18,18,15,0.2977777777777777,0.4044444444444445,0.07111111111111111,0.0,0.08,0.08,0.06666666666666668
Colin Ingram,154,53,58,8,0,20,5,10,0.34415584415584416,0.37662337662337664,0.05194805194805195,0.0,0.12987012987012986,0.032467532467532464,0.06493506493506493
Colin Munro,141,53,45,4,0,19,8,12,0.375886524822695,0.3191489361702128,0.02836879432624113,0.0,0.1347517730496454,0.056737588652482275,0.0851063829787234
Colin Ingram,26,10,11,1,0,2,0,2,0.38461538461538464,0.4230769230769231,0.038461538461538464,0.0,0.07692307692307693,0.0,0.07692307692307693
Chris Lynn,911,336,302,44,0,128,63,38,0.36882546652030734,0.3315038419319429,0.048298572996706916,0.0,0.14050493962678376,0.06915477497255762,0.04171240395170143
Chris Gayle,2970,1200,884,80,3,369,326,108,0.404040404040404,0.29764309764309765,0.02693602693602693,0.0010101010101010099,0.12424242424242425,0.10976430976430976,0.03636363636363636
Chris Morris,328,73,138,33,1,37,27,19,0.2225609756097561,0.4207317073170732,0.10060975609756098,0.003048780487804878,0.11280487804878048,0.08231707317073171,0.057926829268292686
Corey Anderson,423,165,139,25,1,40,31,22,0.3900709219858156,0.32860520094562645,0.0591016548463357,0.0023640661938534283,0.09456264775413713,0.07328605200945626,0.05200945626477541
Chris Jordan,5,1,1,1,0,0,0,2,0.2,0.2,0.2,0.0,0.0,0.0,0.4
Clint Mckay,15,7,6,1,0,0,0,1,0.4666666666666667,0.4,0.06666666666666668,0.0,0.0,0.0,0.06666666666666668
Cameron White,755,224,334,47,2,76,36,36,0.29668874172185433,0.4423841059602649,0.06225165562913908,0.0026490066225165567,0.10066225165562914,0.04768211920529802,0.04768211920529802
Carlos Brathwaite,111,31,37,4,0,10,16,13,0.2792792792792793,0.3333333333333333,0.036036036036036036,0.0,0.09009009009009007,0.14414414414414414,0.11711711711711713
Chris Woakes,66,25,25,3,0,5,2,6,0.3787878787878788,0.3787878787878788,0.045454545454545456,0.0,0.07575757575757576,0.030303030303030307,0.09090909090909093
Dhruv Shorey,17,7,7,0,0,0,1,2,0.4117647058823529,0.4117647058823529,0.0,0.0,0.0,0.05882352941176471,0.1176470588235294
Darcy Short,99,38,35,3,0,11,5,7,0.3838383838383838,0.35353535353535354,0.030303030303030307,0.0,0.1111111111111111,0.0505050505050505,0.0707070707070707
David Wiese,90,21,43,6,0,12,4,4,0.2333333333333333,0.4777777777777778,0.06666666666666668,0.0,0.13333333333333333,0.04444444444444445,0.04444444444444445
David Miller,1334,369,570,126,1,127,87,54,0.2766116941529235,0.4272863568215892,0.0944527736131934,0.0007496251874062968,0.0952023988005997,0.06521739130434782,0.040479760119940034
David Warner,3304,1077,1192,270,17,458,181,109,0.3259685230024213,0.3607748184019369,0.08171912832929783,0.005145278450363196,0.13861985472154964,0.054782082324455215,0.032990314769975784
Doug Bollinger ,23,10,9,1,0,1,1,1,0.43478260869565216,0.39130434782608703,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216
Dwayne Bravo,1156,376,430,104,5,116,61,64,0.32525951557093424,0.3719723183391003,0.08996539792387544,0.0043252595155709355,0.10034602076124567,0.0527681660899654,0.05536332179930796
Deepak Hooda,413,97,188,41,1,27,24,35,0.2348668280871671,0.4552058111380145,0.099273607748184,0.0024213075060532693,0.06537530266343826,0.05811138014527845,0.0847457627118644
David Hussey,1075,350,452,72,2,90,60,49,0.32558139534883723,0.4204651162790698,0.06697674418604653,0.0018604651162790694,0.08372093023255814,0.055813953488372085,0.045581395348837206
Darren Sammy,241,83,94,15,1,15,18,15,0.34439834024896265,0.3900414937759336,0.06224066390041494,0.004149377593360996,0.06224066390041494,0.07468879668049792,0.06224066390041494
Deepak Chahar,44,7,19,4,0,2,6,6,0.1590909090909091,0.4318181818181818,0.09090909090909093,0.0,0.045454545454545456,0.13636363636363635,0.13636363636363635
Daniel Vettori,113,33,54,4,1,11,2,8,0.2920353982300885,0.4778761061946903,0.035398230088495575,0.008849557522123894,0.09734513274336284,0.017699115044247787,0.07079646017699115
Darren Bravo,5,2,2,0,0,1,0,0,0.4,0.4,0.0,0.0,0.2,0.0,0.0
Dwayne Smith,1763,709,521,84,3,245,117,84,0.4021554169030062,0.2955190017016449,0.0476460578559274,0.0017016449234259785,0.13896766874645491,0.06636415201361316,0.0476460578559274
Dhawal Kulkarni,106,36,44,7,1,7,2,9,0.33962264150943394,0.4150943396226415,0.0660377358490566,0.009433962264150943,0.0660377358490566,0.018867924528301886,0.08490566037735849
Daniel Christian,374,97,180,29,2,22,19,25,0.25935828877005346,0.481283422459893,0.07754010695187166,0.0053475935828877,0.05882352941176471,0.050802139037433164,0.06684491978609626
Dale Steyn,158,46,54,19,0,14,3,22,0.2911392405063291,0.34177215189873417,0.12025316455696206,0.0,0.08860759493670886,0.0189873417721519,0.13924050632911392
Evin Lewis,328,136,100,12,2,36,26,16,0.4146341463414634,0.3048780487804878,0.03658536585365853,0.006097560975609756,0.1097560975609756,0.07926829268292683,0.04878048780487805
Eoin Morgan,705,252,255,49,3,72,34,40,0.3574468085106383,0.3617021276595745,0.06950354609929077,0.00425531914893617,0.10212765957446808,0.04822695035460993,0.056737588652482275
Eklavya Dwivedi,14,4,4,0,0,2,2,2,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Farhaan Behardien,13,3,6,0,0,2,0,2,0.2307692307692308,0.4615384615384616,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385
Faf du Plessis,1460,450,630,90,9,163,59,59,0.3082191780821918,0.4315068493150685,0.06164383561643835,0.0061643835616438354,0.11164383561643837,0.04041095890410959,0.04041095890410959
Fidel Edwards,5,2,1,0,1,0,0,1,0.4,0.2,0.0,0.2,0.0,0.0,0.2
Faiz Fazal,173,58,75,7,0,22,1,10,0.3352601156069364,0.4335260115606937,0.04046242774566474,0.0,0.12716763005780346,0.005780346820809247,0.05780346820809248
Gautam Gambhir,3404,1101,1352,249,15,492,59,136,0.3234430082256169,0.3971797884841363,0.07314923619271445,0.004406580493537014,0.1445358401880141,0.017332549941245598,0.0399529964747356
Brad Hogg,22,2,14,2,0,1,0,3,0.09090909090909093,0.6363636363636364,0.09090909090909093,0.0,0.045454545454545456,0.0,0.13636363636363635
Graeme Smith,668,271,228,39,1,94,9,26,0.405688622754491,0.3413173652694611,0.05838323353293413,0.0014970059880239524,0.1407185628742515,0.013473053892215571,0.03892215568862276
Glenn McGrath,5,3,0,0,0,1,0,1,0.6,0.0,0.0,0.0,0.2,0.0,0.2
Hanuma Vihari,313,114,133,23,1,23,1,18,0.36421725239616615,0.4249201277955272,0.07348242811501597,0.003194888178913738,0.07348242811501597,0.003194888178913738,0.057507987220447275
George Bailey,544,172,222,44,1,59,19,27,0.3161764705882353,0.4080882352941176,0.08088235294117647,0.0018382352941176468,0.10845588235294118,0.034926470588235295,0.04963235294117647
Glenn Maxwell,867,260,280,64,1,110,91,61,0.29988465974625145,0.3229527104959631,0.07381776239907728,0.0011534025374855825,0.12687427912341406,0.104959630911188,0.07035755478662054
Graham Napier,16,6,5,3,0,1,0,1,0.375,0.3125,0.1875,0.0,0.0625,0.0,0.0625
Gurkeerat Singh,342,94,146,20,0,47,11,24,0.27485380116959063,0.4269005847953216,0.05847953216374269,0.0,0.13742690058479531,0.032163742690058485,0.07017543859649122
Harpreet Brar,12,3,6,0,0,2,1,0,0.25,0.5,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0
Halhadar Das,5,2,2,0,0,0,0,1,0.4,0.4,0.0,0.0,0.0,0.0,0.2
Harry Gurney,5,4,1,0,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,0.0
Heinrich Klaasen,57,14,24,8,0,5,1,5,0.2456140350877193,0.42105263157894735,0.14035087719298245,0.0,0.08771929824561403,0.017543859649122806,0.08771929824561403
Hanuma Vihari,8,2,4,0,0,0,0,2,0.25,0.5,0.0,0.0,0.0,0.0,0.25
Hardus Viljoen,7,3,1,1,0,0,0,2,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857
Harbhajan Singh,600,197,193,34,0,79,42,55,0.3283333333333333,0.32166666666666666,0.05666666666666665,0.0,0.13166666666666665,0.07,0.09166666666666666
Harmeet Singh,12,1,2,2,0,3,0,4,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.25,0.0,0.3333333333333333
Harpreet Singh,26,6,16,2,0,0,0,2,0.2307692307692308,0.6153846153846154,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693
Herschelle Gibbs,806,348,264,45,3,83,31,32,0.4317617866004963,0.32754342431761785,0.05583126550868486,0.003722084367245658,0.10297766749379653,0.038461538461538464,0.03970223325062035
Hardik Pandya,689,192,276,41,3,72,68,37,0.27866473149492016,0.4005805515239477,0.059506531204644414,0.004354136429608128,0.10449927431059508,0.09869375907111756,0.05370101596516691
Hashim Amla,407,126,164,22,1,60,21,13,0.3095823095823096,0.40294840294840295,0.054054054054054064,0.002457002457002457,0.14742014742014742,0.0515970515970516,0.031941031941031935
Harshal Patel,69,8,35,3,0,3,9,11,0.11594202898550725,0.5072463768115942,0.043478260869565216,0.0,0.043478260869565216,0.13043478260869565,0.15942028985507245
Ishant Sharma,61,25,21,3,0,4,2,6,0.4098360655737705,0.3442622950819672,0.049180327868852465,0.0,0.06557377049180327,0.032786885245901634,0.09836065573770493
Ish Sodhi,17,8,7,0,0,0,0,2,0.4705882352941176,0.4117647058823529,0.0,0.0,0.0,0.0,0.1176470588235294
Irfan Pathan,945,284,406,76,2,87,37,53,0.3005291005291005,0.4296296296296296,0.08042328042328042,0.0021164021164021165,0.09206349206349207,0.03915343915343916,0.056084656084656084
Imran Tahir,27,13,6,1,0,3,0,4,0.4814814814814815,0.2222222222222222,0.037037037037037035,0.0,0.1111111111111111,0.0,0.14814814814814814
Iqbal Abdulla,84,32,34,6,0,9,1,2,0.3809523809523809,0.4047619047619048,0.07142857142857142,0.0,0.10714285714285714,0.011904761904761904,0.023809523809523808
Ishan Kishan,531,192,181,27,0,64,34,33,0.3615819209039548,0.3408662900188324,0.05084745762711865,0.0,0.12052730696798493,0.064030131826742,0.062146892655367235
Jofra Archer,61,15,24,5,0,6,4,7,0.2459016393442623,0.3934426229508197,0.08196721311475409,0.0,0.09836065573770493,0.06557377049180327,0.11475409836065575
Johnny Bairstow,284,86,103,18,2,49,18,8,0.3028169014084507,0.3626760563380282,0.06338028169014084,0.007042253521126761,0.17253521126760565,0.06338028169014084,0.028169014084507043
Johan Botha,359,113,143,37,2,39,5,20,0.3147632311977716,0.3983286908077994,0.10306406685236767,0.0055710306406685246,0.1086350974930362,0.013927576601671307,0.055710306406685235
Joe Denly,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jagadeesha Suchith,47,18,16,5,0,4,2,2,0.3829787234042553,0.3404255319148936,0.10638297872340426,0.0,0.0851063829787234,0.0425531914893617,0.0425531914893617
Jayant Yadav,10,2,6,0,0,0,0,2,0.2,0.6,0.0,0.0,0.0,0.0,0.2
Jos Buttler,919,292,321,64,2,140,61,39,0.3177366702937976,0.3492927094668117,0.06964091403699674,0.002176278563656148,0.15233949945593034,0.06637649619151251,0.042437431991294884
Jesse Ryder,458,164,145,30,3,69,19,28,0.3580786026200873,0.3165938864628821,0.06550218340611354,0.006550218340611353,0.15065502183406113,0.04148471615720524,0.0611353711790393
Jaidev Unadkat,54,16,25,0,0,6,1,6,0.2962962962962963,0.462962962962963,0.0,0.0,0.1111111111111111,0.018518518518518517,0.1111111111111111
Jacob Oram,108,40,46,3,0,6,5,8,0.3703703703703704,0.4259259259259259,0.027777777777777776,0.0,0.05555555555555555,0.04629629629629629,0.07407407407407407
James Neesham,46,22,10,7,0,3,1,3,0.4782608695652174,0.21739130434782608,0.15217391304347827,0.0,0.06521739130434782,0.021739130434782608,0.06521739130434782
James Franklin,301,105,129,22,0,25,9,11,0.3488372093023256,0.42857142857142855,0.07308970099667775,0.0,0.08305647840531563,0.029900332225913626,0.03654485049833888
Jacques Kallis,2221,828,888,113,8,255,44,85,0.37280504277352544,0.3998199009455201,0.05087798289058983,0.0036019810895992796,0.11481314723097705,0.019810895992796042,0.03827104907699234
Jasprit Bumrah,38,12,17,2,0,2,1,4,0.3157894736842105,0.4473684210526316,0.05263157894736842,0.0,0.05263157894736842,0.02631578947368421,0.10526315789473684
Jason Roy,135,50,48,6,0,18,8,5,0.3703703703703704,0.3555555555555556,0.04444444444444445,0.0,0.13333333333333333,0.05925925925925926,0.037037037037037035
Justin Kemp,24,8,9,2,1,1,1,2,0.3333333333333333,0.375,0.08333333333333333,0.04166666666666666,0.04166666666666666,0.04166666666666666,0.08333333333333333
Jason Holder,31,12,6,2,0,4,2,5,0.3870967741935484,0.1935483870967742,0.06451612903225806,0.0,0.12903225806451613,0.06451612903225806,0.16129032258064516
Joginder Sharma,30,6,14,3,0,1,2,4,0.2,0.4666666666666667,0.1,0.0,0.03333333333333333,0.06666666666666668,0.13333333333333333
JP Duminy,1636,467,781,126,6,126,79,51,0.28545232273838633,0.4773838630806846,0.07701711491442542,0.0036674816625916866,0.07701711491442542,0.04828850855745721,0.031173594132029338
James Faulkner,389,103,160,41,1,36,23,25,0.2647814910025707,0.4113110539845759,0.10539845758354756,0.002570694087403599,0.09254498714652956,0.05912596401028278,0.06426735218508997
Khaleel Ahmed,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Krishnappa Gowtham,83,18,23,9,1,10,10,12,0.21686746987951808,0.27710843373493976,0.10843373493975904,0.012048192771084338,0.12048192771084335,0.12048192771084335,0.14457831325301204
Keemo Paul,24,10,6,1,0,1,1,5,0.4166666666666667,0.25,0.04166666666666666,0.0,0.04166666666666666,0.04166666666666666,0.20833333333333331
Kagiso Rabada,79,32,31,3,0,5,2,6,0.4050632911392405,0.3924050632911392,0.0379746835443038,0.0,0.06329113924050632,0.02531645569620253,0.0759493670886076
Kieron Pollard,1876,589,704,123,7,181,176,96,0.31396588486140725,0.3752665245202559,0.06556503198294243,0.00373134328358209,0.0964818763326226,0.09381663113006396,0.0511727078891258
Kemar Roach,9,2,4,1,0,1,0,1,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111
Kumar Sangakkara,1391,455,563,81,5,195,27,65,0.3271028037383177,0.404744787922358,0.0582314881380302,0.003594536304816678,0.14018691588785046,0.019410496046010063,0.04672897196261682
Dinesh Karthik,2813,833,1175,206,6,357,101,135,0.29612513330963386,0.4177035193743335,0.07323142552435123,0.0021329541414859578,0.1269107714184145,0.03590472804834696,0.047991468183434055
Krunal Pandya,610,176,222,53,3,86,35,35,0.28852459016393445,0.3639344262295082,0.08688524590163935,0.004918032786885246,0.14098360655737704,0.05737704918032788,0.05737704918032788
Kyle Abbott,8,2,2,1,1,0,1,1,0.25,0.25,0.125,0.125,0.0,0.125,0.125
Kevon Cooper,68,18,16,8,0,9,8,9,0.2647058823529412,0.2352941176470588,0.1176470588235294,0.0,0.1323529411764706,0.1176470588235294,0.1323529411764706
Karun Nair,1138,380,416,81,5,158,39,59,0.3339191564147627,0.3655536028119508,0.07117750439367311,0.004393673110720564,0.13884007029876974,0.03427065026362039,0.05184534270650264
KL Rahul,1431,450,570,104,3,176,81,47,0.31446540880503143,0.39832285115303984,0.0726764500349406,0.0020964360587002093,0.12299091544374564,0.05660377358490566,0.03284416491963662
Kedar Jadhav,853,249,372,54,1,92,38,47,0.29191090269636577,0.4361078546307151,0.06330597889800703,0.0011723329425556855,0.10785463071512308,0.044548651817116064,0.05509964830011723
Kevin Pietersen,742,247,284,48,4,91,40,28,0.3328840970350404,0.38274932614555257,0.0646900269541779,0.005390835579514825,0.12264150943396225,0.05390835579514825,0.03773584905660377
Kane Williamson,963,267,429,74,4,111,44,34,0.2772585669781931,0.4454828660436137,0.07684319833852545,0.004153686396677051,0.11526479750778815,0.04569055036344756,0.035306334371754934
Kuldeep Yadav,54,23,16,6,0,4,0,5,0.4259259259259259,0.2962962962962963,0.1111111111111111,0.0,0.07407407407407407,0.0,0.0925925925925926
Karn Sharma,274,84,114,22,1,18,14,21,0.30656934306569344,0.4160583941605839,0.08029197080291971,0.0036496350364963507,0.06569343065693431,0.051094890510948905,0.07664233576642336
Kane Richardson,39,14,16,3,0,2,1,3,0.35897435897435903,0.41025641025641024,0.07692307692307693,0.0,0.05128205128205128,0.02564102564102564,0.07692307692307693
Liam Livingstone,48,19,13,2,0,6,5,3,0.3958333333333333,0.2708333333333333,0.04166666666666666,0.0,0.125,0.10416666666666667,0.0625
Liam Plunkett,3,1,1,0,0,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
Luke Ronchi,34,18,4,0,0,6,1,5,0.5294117647058824,0.1176470588235294,0.0,0.0,0.17647058823529413,0.029411764705882356,0.14705882352941174
Lockie Ferguson,1,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Luke Wright,60,14,20,2,0,16,3,5,0.2333333333333333,0.3333333333333333,0.03333333333333333,0.0,0.26666666666666666,0.05,0.08333333333333333
Lendyl Simmons,852,349,269,52,2,109,44,27,0.4096244131455399,0.31572769953051644,0.061032863849765265,0.002347417840375587,0.12793427230046947,0.051643192488262914,0.03169014084507042
Ross Taylor,820,269,334,62,3,66,46,40,0.3280487804878049,0.4073170731707317,0.07560975609756097,0.003658536585365854,0.08048780487804877,0.056097560975609764,0.04878048780487805
Moeen Ali,179,52,65,7,0,20,23,12,0.2905027932960894,0.3631284916201117,0.03910614525139665,0.0,0.111731843575419,0.12849162011173185,0.0670391061452514
Murugan Ashwin,8,1,4,0,0,0,0,3,0.125,0.5,0.0,0.0,0.0,0.0,0.375
Merchant de Lange ,2,0,1,0,0,0,0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.5
Murali Kartik,108,24,60,8,1,7,1,7,0.2222222222222222,0.5555555555555556,0.07407407407407407,0.009259259259259259,0.06481481481481481,0.009259259259259259,0.06481481481481481
