num,batsman,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
62,B Akhil,55,18,16,5,0,5,5,6,0.32727272727272727,0.2909090909090909,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.10909090909090909
63,B Chipli,251,90,100,7,4,28,7,15,0.35856573705179284,0.398406374501992,0.027888446215139442,0.01593625498007968,0.11155378486055777,0.027888446215139442,0.05976095617529881
64,B Kumar,192,65,69,14,0,17,3,24,0.3385416666666667,0.359375,0.07291666666666667,0.0,0.08854166666666667,0.015625,0.125
65,B Laughlin,13,6,5,0,0,0,0,2,0.46153846153846156,0.38461538461538464,0.0,0.0,0.0,0.0,0.15384615384615385
66,B Lee,97,31,36,4,0,8,8,10,0.31958762886597936,0.3711340206185567,0.041237113402061855,0.0,0.08247422680412371,0.08247422680412371,0.10309278350515463
67,B Stanlake,2,0,1,0,0,1,0,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
68,B Sumanth,37,13,17,3,0,3,0,1,0.35135135135135137,0.4594594594594595,0.08108108108108109,0.0,0.08108108108108109,0.0,0.02702702702702703
69,BA Bhatt,7,5,0,0,0,0,1,1,0.7142857142857143,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
70,BA Stokes,481,119,221,43,2,43,25,28,0.24740124740124741,0.4594594594594595,0.0893970893970894,0.004158004158004158,0.0893970893970894,0.05197505197505198,0.058212058212058215
71,Basil Thampi,35,13,16,3,0,1,1,1,0.37142857142857144,0.45714285714285713,0.08571428571428572,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857
72,BAW Mendis,6,1,3,0,0,0,0,2,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.3333333333333333
73,BB McCullum,2186,840,713,103,3,293,130,104,0.38426349496797807,0.3261665141811528,0.04711802378774017,0.0013723696248856359,0.13403476669716377,0.059469350411710885,0.04757548032936871
74,BB Samantray,113,40,45,8,0,13,2,5,0.35398230088495575,0.39823008849557523,0.07079646017699115,0.0,0.11504424778761062,0.017699115044247787,0.04424778761061947
75,BB Sran,14,4,8,1,0,0,0,1,0.2857142857142857,0.5714285714285714,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142
76,BCJ Cutting,141,42,44,10,0,15,19,11,0.2978723404255319,0.3120567375886525,0.07092198581560284,0.0,0.10638297872340426,0.1347517730496454,0.07801418439716312
77,BE Hendricks,3,1,1,0,0,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
78,Bipul Sharma,123,25,51,19,0,11,9,8,0.2032520325203252,0.4146341463414634,0.15447154471544716,0.0,0.08943089430894309,0.07317073170731707,0.06504065040650407
79,BJ Haddin,11,4,2,1,0,2,1,1,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091
80,BJ Hodge,1118,362,452,89,8,122,43,42,0.32379248658318427,0.40429338103756707,0.07960644007155634,0.007155635062611807,0.10912343470483005,0.038461538461538464,0.03756708407871199
81,BJ Rohrer,140,45,48,14,1,21,5,6,0.32142857142857145,0.34285714285714286,0.1,0.007142857142857143,0.15,0.03571428571428571,0.04285714285714286
82,BMAJ Mendis,27,5,15,4,0,0,0,3,0.18518518518518517,0.5555555555555556,0.14814814814814814,0.0,0.0,0.0,0.1111111111111111
83,BR Dunk,35,16,6,3,0,7,0,3,0.45714285714285713,0.17142857142857143,0.08571428571428572,0.0,0.2,0.0,0.08571428571428572
84,C de Grandhomme,225,67,91,16,0,18,18,15,0.29777777777777775,0.40444444444444444,0.07111111111111111,0.0,0.08,0.08,0.06666666666666667
85,C Ingram,154,53,58,8,0,20,5,10,0.34415584415584416,0.37662337662337664,0.05194805194805195,0.0,0.12987012987012986,0.032467532467532464,0.06493506493506493
86,C Madan,19,12,3,0,0,3,0,1,0.631578947368421,0.15789473684210525,0.0,0.0,0.15789473684210525,0.0,0.05263157894736842
87,C Munro,141,53,45,4,0,19,8,12,0.375886524822695,0.3191489361702128,0.028368794326241134,0.0,0.1347517730496454,0.05673758865248227,0.0851063829787234
88,C Nanda,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,CA Ingram,26,10,11,1,0,2,0,2,0.38461538461538464,0.4230769230769231,0.038461538461538464,0.0,0.07692307692307693,0.0,0.07692307692307693
90,CA Lynn,911,336,302,44,0,128,63,38,0.36882546652030734,0.33150384193194293,0.048298572996706916,0.0,0.14050493962678376,0.06915477497255763,0.04171240395170143
91,CA Pujara,391,169,133,15,1,50,4,19,0.4322250639386189,0.340153452685422,0.03836317135549872,0.0025575447570332483,0.1278772378516624,0.010230179028132993,0.04859335038363171
92,CH Gayle,2970,1200,884,80,3,369,326,108,0.40404040404040403,0.29764309764309765,0.026936026936026935,0.00101010101010101,0.12424242424242424,0.10976430976430976,0.03636363636363636
93,CH Morris,328,73,138,33,1,37,27,19,0.2225609756097561,0.42073170731707316,0.10060975609756098,0.003048780487804878,0.11280487804878049,0.08231707317073171,0.057926829268292686
94,CJ Anderson,423,165,139,25,1,40,31,22,0.3900709219858156,0.32860520094562645,0.0591016548463357,0.002364066193853428,0.09456264775413711,0.07328605200945626,0.05200945626477541
95,CJ Ferguson,117,50,42,10,0,9,0,6,0.42735042735042733,0.358974358974359,0.08547008547008547,0.0,0.07692307692307693,0.0,0.05128205128205128
96,CJ Jordan,5,1,1,1,0,0,0,2,0.2,0.2,0.2,0.0,0.0,0.0,0.4
97,CJ McKay,15,7,6,1,0,0,0,1,0.4666666666666667,0.4,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667
98,CK Kapugedera,23,6,12,2,0,0,0,3,0.2608695652173913,0.5217391304347826,0.08695652173913043,0.0,0.0,0.0,0.13043478260869565
99,CK Langeveldt,9,4,2,0,0,0,1,2,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222
100,CL White,755,224,334,47,2,76,36,36,0.29668874172185433,0.4423841059602649,0.06225165562913907,0.0026490066225165563,0.10066225165562914,0.04768211920529802,0.04768211920529802
101,CM Gautam,150,66,40,8,3,17,6,10,0.44,0.26666666666666666,0.05333333333333334,0.02,0.11333333333333333,0.04,0.06666666666666667
102,CR Brathwaite,111,31,37,4,0,10,16,13,0.27927927927927926,0.3333333333333333,0.036036036036036036,0.0,0.09009009009009009,0.14414414414414414,0.11711711711711711
103,CR Woakes,66,25,25,3,0,5,2,6,0.3787878787878788,0.3787878787878788,0.045454545454545456,0.0,0.07575757575757576,0.030303030303030304,0.09090909090909091
104,CRD Fernando,3,0,2,1,0,0,0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
105,D du Preez,13,4,6,2,0,0,0,1,0.3076923076923077,0.46153846153846156,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693
106,D Kalyankrishna,8,4,3,0,0,0,0,1,0.5,0.375,0.0,0.0,0.0,0.0,0.125
107,D Salunkhe,24,6,9,2,0,5,0,2,0.25,0.375,0.08333333333333333,0.0,0.20833333333333334,0.0,0.08333333333333333
108,D Shorey,17,7,7,0,0,0,1,2,0.4117647058823529,0.4117647058823529,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941
109,D Short,99,38,35,3,0,11,5,7,0.3838383838383838,0.35353535353535354,0.030303030303030304,0.0,0.1111111111111111,0.050505050505050504,0.0707070707070707
110,D Wiese,90,21,43,6,0,12,4,4,0.23333333333333334,0.4777777777777778,0.06666666666666667,0.0,0.13333333333333333,0.044444444444444446,0.044444444444444446
111,DA Miller,1334,369,570,126,1,127,87,54,0.2766116941529235,0.4272863568215892,0.0944527736131934,0.0007496251874062968,0.0952023988005997,0.06521739130434782,0.04047976011994003
112,DA Warner,3304,1077,1192,270,17,458,181,109,0.3259685230024213,0.36077481840193704,0.08171912832929783,0.005145278450363196,0.13861985472154964,0.05478208232445521,0.032990314769975784
113,DAJ Bracewell,9,1,6,1,0,1,0,0,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0
114,DB Das,261,104,92,12,0,23,16,14,0.39846743295019155,0.3524904214559387,0.04597701149425287,0.0,0.08812260536398467,0.06130268199233716,0.05363984674329502
115,DB Ravi Teja,317,97,136,18,3,35,9,19,0.305993690851735,0.42902208201892744,0.056782334384858045,0.00946372239747634,0.11041009463722397,0.028391167192429023,0.05993690851735016
116,DE Bollinger,23,10,9,1,0,1,1,1,0.43478260869565216,0.391304347826087,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216
117,DH Yagnik,137,47,44,11,0,23,2,10,0.34306569343065696,0.32116788321167883,0.08029197080291971,0.0,0.1678832116788321,0.014598540145985401,0.072992700729927
118,DJ Bravo,1156,376,430,104,5,116,61,64,0.32525951557093424,0.3719723183391003,0.08996539792387544,0.004325259515570935,0.10034602076124567,0.052768166089965395,0.05536332179930796
119,DJ Harris,101,46,33,2,0,11,5,4,0.45544554455445546,0.32673267326732675,0.019801980198019802,0.0,0.10891089108910891,0.04950495049504951,0.039603960396039604
120,DJ Hooda,413,97,188,41,1,27,24,35,0.23486682808716708,0.4552058111380145,0.09927360774818401,0.002421307506053269,0.06537530266343826,0.05811138014527845,0.0847457627118644
121,DJ Hussey,1075,350,452,72,2,90,60,49,0.32558139534883723,0.4204651162790698,0.06697674418604652,0.0018604651162790699,0.08372093023255814,0.05581395348837209,0.045581395348837206
122,DJ Jacobs,98,52,22,3,0,10,4,7,0.5306122448979592,0.22448979591836735,0.030612244897959183,0.0,0.10204081632653061,0.04081632653061224,0.07142857142857142
123,DJ Muthuswami,3,1,1,0,0,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
124,DJ Thornely,53,27,19,0,0,2,2,3,0.5094339622641509,0.3584905660377358,0.0,0.0,0.03773584905660377,0.03773584905660377,0.05660377358490566
125,DJG Sammy,241,83,94,15,1,15,18,15,0.34439834024896265,0.3900414937759336,0.06224066390041494,0.004149377593360996,0.06224066390041494,0.07468879668049792,0.06224066390041494
126,DL Chahar,44,7,19,4,0,2,6,6,0.1590909090909091,0.4318181818181818,0.09090909090909091,0.0,0.045454545454545456,0.13636363636363635,0.13636363636363635
127,DL Vettori,113,33,54,4,1,11,2,8,0.2920353982300885,0.4778761061946903,0.035398230088495575,0.008849557522123894,0.09734513274336283,0.017699115044247787,0.07079646017699115
128,DM Bravo,5,2,2,0,0,1,0,0,0.4,0.4,0.0,0.0,0.2,0.0,0.0
129,DNT Zoysa,9,2,3,2,0,1,0,1,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111
130,DP Nannes,13,8,4,0,0,0,0,1,0.6153846153846154,0.3076923076923077,0.0,0.0,0.0,0.0,0.07692307692307693
131,DP Vijaykumar,1,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132,DPMD Jayawardene,1461,497,565,93,4,200,39,63,0.3401779603011636,0.3867214236824093,0.06365503080082136,0.0027378507871321013,0.13689253935660506,0.026694045174537988,0.043121149897330596
133,DR Martyn,24,7,15,0,0,1,0,1,0.2916666666666667,0.625,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664
134,DR Smith,1763,709,521,84,3,245,117,84,0.4021554169030062,0.2955190017016449,0.0476460578559274,0.0017016449234259785,0.13896766874645491,0.06636415201361316,0.0476460578559274
135,DS Kulkarni,106,36,44,7,1,7,2,9,0.33962264150943394,0.41509433962264153,0.0660377358490566,0.009433962264150943,0.0660377358490566,0.018867924528301886,0.08490566037735849
136,DS Lehmann,18,7,6,0,0,3,0,2,0.3888888888888889,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111
137,DT Christian,374,97,180,29,2,22,19,25,0.25935828877005346,0.48128342245989303,0.07754010695187166,0.0053475935828877,0.058823529411764705,0.05080213903743316,0.06684491978609626
138,DT Patil,13,3,5,2,0,1,0,2,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.0,0.07692307692307693,0.0,0.15384615384615385
139,DW Steyn,158,46,54,19,0,14,3,22,0.2911392405063291,0.34177215189873417,0.12025316455696203,0.0,0.08860759493670886,0.0189873417721519,0.13924050632911392
140,E Lewis,328,136,100,12,2,36,26,16,0.4146341463414634,0.3048780487804878,0.036585365853658534,0.006097560975609756,0.10975609756097561,0.07926829268292683,0.04878048780487805
141,EJG Morgan,705,252,255,49,3,72,34,40,0.3574468085106383,0.3617021276595745,0.06950354609929078,0.00425531914893617,0.10212765957446808,0.04822695035460993,0.05673758865248227
142,ER Dwivedi,14,4,4,0,0,2,2,2,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
143,F Behardien,13,3,6,0,0,2,0,2,0.23076923076923078,0.46153846153846156,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385
144,F du Plessis,1460,450,630,90,9,163,59,59,0.3082191780821918,0.4315068493150685,0.06164383561643835,0.0061643835616438354,0.11164383561643836,0.04041095890410959,0.04041095890410959
145,FH Edwards,5,2,1,0,1,0,0,1,0.4,0.2,0.0,0.2,0.0,0.0,0.2
146,FY Fazal,173,58,75,7,0,22,1,10,0.3352601156069364,0.43352601156069365,0.04046242774566474,0.0,0.12716763005780346,0.005780346820809248,0.057803468208092484
147,G Gambhir,3404,1101,1352,249,15,492,59,136,0.32344300822561695,0.3971797884841363,0.07314923619271445,0.004406580493537015,0.1445358401880141,0.017332549941245595,0.0399529964747356
148,GB Hogg,22,2,14,2,0,1,0,3,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.045454545454545456,0.0,0.13636363636363635
149,GC Smith,668,271,228,39,1,94,9,26,0.405688622754491,0.3413173652694611,0.058383233532934134,0.0014970059880239522,0.1407185628742515,0.01347305389221557,0.038922155688622756
150,GD McGrath,5,3,0,0,0,1,0,1,0.6,0.0,0.0,0.0,0.2,0.0,0.2
151,GH Vihari,313,114,133,23,1,23,1,18,0.36421725239616615,0.4249201277955272,0.07348242811501597,0.003194888178913738,0.07348242811501597,0.003194888178913738,0.05750798722044728
152,GJ Bailey,544,172,222,44,1,59,19,27,0.3161764705882353,0.40808823529411764,0.08088235294117647,0.001838235294117647,0.10845588235294118,0.034926470588235295,0.04963235294117647
153,GJ Maxwell,867,260,280,64,1,110,91,61,0.29988465974625145,0.3229527104959631,0.07381776239907728,0.0011534025374855825,0.12687427912341406,0.104959630911188,0.07035755478662054
154,GR Napier,16,6,5,3,0,1,0,1,0.375,0.3125,0.1875,0.0,0.0625,0.0,0.0625
155,Gurkeerat Singh,342,94,146,20,0,47,11,24,0.27485380116959063,0.4269005847953216,0.05847953216374269,0.0,0.13742690058479531,0.03216374269005848,0.07017543859649122
156,H Brar,12,3,6,0,0,2,1,0,0.25,0.5,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0
157,H Das,5,2,2,0,0,0,0,1,0.4,0.4,0.0,0.0,0.0,0.0,0.2
158,H Gurney,5,4,1,0,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,0.0
159,H Klaasen,57,14,24,8,0,5,1,5,0.24561403508771928,0.42105263157894735,0.14035087719298245,0.0,0.08771929824561403,0.017543859649122806,0.08771929824561403
160,H Vihari,8,2,4,0,0,0,0,2,0.25,0.5,0.0,0.0,0.0,0.0,0.25
161,H Viljoen,7,3,1,1,0,0,0,2,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857
162,Harbhajan Singh,600,197,193,34,0,79,42,55,0.3283333333333333,0.32166666666666666,0.056666666666666664,0.0,0.13166666666666665,0.07,0.09166666666666666
163,Harmeet Singh,12,1,2,2,0,3,0,4,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.25,0.0,0.3333333333333333
164,Harpreet Singh,26,6,16,2,0,0,0,2,0.23076923076923078,0.6153846153846154,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693
165,HH Gibbs,806,348,264,45,3,83,31,32,0.4317617866004963,0.32754342431761785,0.05583126550868486,0.0037220843672456576,0.10297766749379653,0.038461538461538464,0.03970223325062035
166,HH Pandya,689,192,276,41,3,72,68,37,0.27866473149492016,0.4005805515239477,0.059506531204644414,0.0043541364296081275,0.10449927431059507,0.09869375907111756,0.05370101596516691
167,HM Amla,407,126,164,22,1,60,21,13,0.3095823095823096,0.40294840294840295,0.05405405405405406,0.002457002457002457,0.14742014742014742,0.051597051597051594,0.03194103194103194
168,HV Patel,69,8,35,3,0,3,9,11,0.11594202898550725,0.5072463768115942,0.043478260869565216,0.0,0.043478260869565216,0.13043478260869565,0.15942028985507245
169,I Malhotra,4,0,3,0,0,1,0,0,0.0,0.75,0.0,0.0,0.25,0.0,0.0
170,I Sharma,61,25,21,3,0,4,2,6,0.4098360655737705,0.3442622950819672,0.04918032786885246,0.0,0.06557377049180328,0.03278688524590164,0.09836065573770492
171,I Sodhi,17,8,7,0,0,0,0,2,0.47058823529411764,0.4117647058823529,0.0,0.0,0.0,0.0,0.11764705882352941
172,IC Pandey,2,1,0,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.5
173,IK Pathan,945,284,406,76,2,87,37,53,0.30052910052910053,0.42962962962962964,0.08042328042328042,0.0021164021164021165,0.09206349206349207,0.039153439153439155,0.056084656084656084
174,Imran Tahir,27,13,6,1,0,3,0,4,0.48148148148148145,0.2222222222222222,0.037037037037037035,0.0,0.1111111111111111,0.0,0.14814814814814814
175,Iqbal Abdulla,84,32,34,6,0,9,1,2,0.38095238095238093,0.40476190476190477,0.07142857142857142,0.0,0.10714285714285714,0.011904761904761904,0.023809523809523808
176,IR Jaggi,97,43,36,5,2,6,0,5,0.44329896907216493,0.3711340206185567,0.05154639175257732,0.020618556701030927,0.061855670103092786,0.0,0.05154639175257732
