bowler,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob
Makhaya Ntini,92,59,8,1,29,8,7,204,0.4509803921568628,0.28921568627450983,0.0392156862745098,0.004901960784313725,0.14215686274509806,0.0392156862745098,0.03431372549019608
Mitchell Santner,33,35,5,1,6,2,4,86,0.38372093023255816,0.4069767441860465,0.05813953488372092,0.011627906976744186,0.06976744186046513,0.02325581395348837,0.04651162790697674
Mujeeb Ur Rahman,109,160,31,3,34,18,17,372,0.2930107526881721,0.4301075268817205,0.08333333333333333,0.008064516129032258,0.0913978494623656,0.04838709677419355,0.0456989247311828
Murali Vijay,8,21,2,0,6,0,0,37,0.21621621621621626,0.5675675675675675,0.054054054054054064,0.0,0.16216216216216214,0.0,0.0
Mark Wood,5,9,2,0,6,2,0,24,0.20833333333333331,0.375,0.08333333333333333,0.0,0.25,0.08333333333333333,0.0
Mitchell Starc,198,210,56,5,77,8,34,588,0.33673469387755106,0.35714285714285715,0.09523809523809523,0.008503401360544218,0.13095238095238096,0.013605442176870748,0.057823129251700675
Mandeep Singh,1,6,2,0,1,2,0,12,0.08333333333333333,0.5,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0
Mashrafe Mortaza,6,9,4,0,3,4,0,26,0.2307692307692308,0.3461538461538461,0.15384615384615385,0.0,0.1153846153846154,0.15384615384615385,0.0
Moises Henriques,239,418,55,3,120,37,38,910,0.26263736263736265,0.4593406593406593,0.06043956043956044,0.0032967032967032967,0.13186813186813187,0.04065934065934066,0.04175824175824176
Farvez Maharoof,138,171,28,1,46,16,27,427,0.3231850117096019,0.4004683840749415,0.06557377049180327,0.00234192037470726,0.10772833723653397,0.03747072599531616,0.06323185011709602
Mitchell Johnson,472,405,79,6,194,55,61,1272,0.3710691823899371,0.31839622641509435,0.06210691823899371,0.0047169811320754715,0.15251572327044025,0.04323899371069182,0.0479559748427673
Michael Neser,5,7,2,1,6,4,0,25,0.2,0.28,0.08,0.04,0.24,0.16,0.0
Michael clarke,20,33,3,0,4,2,2,64,0.3125,0.515625,0.046875,0.0,0.0625,0.03125,0.03125
Matt Henry,6,11,1,0,7,5,1,31,0.1935483870967742,0.3548387096774194,0.03225806451612903,0.0,0.2258064516129032,0.16129032258064516,0.03225806451612903
Mitch McClenaghan,436,484,71,3,176,70,71,1311,0.3325705568268497,0.3691838291380625,0.05415713196033562,0.0022883295194508014,0.13424866514111367,0.053394355453852016,0.05415713196033562
Manoj Tiwary,8,22,4,1,2,7,1,45,0.17777777777777778,0.4888888888888889,0.08888888888888889,0.022222222222222227,0.04444444444444445,0.15555555555555556,0.022222222222222227
