num,bowler,dots,singles,doubles,triples,fours,sixes,wickets,balls_bowled,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
52,MM Patel,516,445,75,8,187,50,74,1355,0.3808118081180812,0.3284132841328413,0.055350553505535055,0.005904059040590406,0.13800738007380073,0.03690036900369004,0.05461254612546126
53,DW Steyn,900,701,125,15,268,47,96,2152,0.41821561338289964,0.3257434944237918,0.05808550185873606,0.006970260223048327,0.12453531598513011,0.02184014869888476,0.04460966542750929
54,HV Patel,245,331,62,1,115,47,43,844,0.2902843601895735,0.3921800947867299,0.07345971563981042,0.001184834123222749,0.1362559241706161,0.05568720379146919,0.0509478672985782
55,P Negi,203,332,49,0,57,47,34,722,0.28116343490304707,0.4598337950138504,0.06786703601108034,0.0,0.07894736842105263,0.06509695290858726,0.04709141274238227
56,Rashid Khan,388,455,48,2,90,46,55,1084,0.35793357933579334,0.41974169741697415,0.04428044280442804,0.0018450184501845018,0.08302583025830258,0.042435424354243544,0.0507380073800738
57,VR Aaron,320,335,56,8,142,46,42,949,0.33719704952581664,0.3530031612223393,0.059009483667017915,0.008429926238145416,0.14963119072708114,0.04847207586933614,0.044257112750263436
58,R Sharma,294,419,54,3,70,45,40,925,0.3178378378378378,0.45297297297297295,0.05837837837837838,0.003243243243243243,0.07567567567567568,0.04864864864864865,0.043243243243243246
59,SK Raina,255,467,44,5,71,44,25,911,0.27991218441273324,0.5126234906695939,0.048298572996706916,0.005488474204171241,0.07793633369923161,0.048298572996706916,0.027442371020856202
60,PJ Sangwan,263,307,62,1,117,43,35,828,0.3176328502415459,0.37077294685990336,0.0748792270531401,0.0012077294685990338,0.14130434782608695,0.051932367149758456,0.042270531400966184
61,SN Thakur,227,264,53,6,105,42,36,733,0.3096862210095498,0.3601637107776262,0.0723055934515689,0.008185538881309686,0.1432469304229195,0.0572987721691678,0.04911323328785812
62,TG Southee,300,327,71,9,135,42,28,912,0.32894736842105265,0.35855263157894735,0.07785087719298246,0.009868421052631578,0.14802631578947367,0.046052631578947366,0.03070175438596491
63,M Kartik,351,536,95,6,97,41,31,1157,0.30337078651685395,0.46326707000864303,0.08210890233362143,0.005185825410544511,0.08383751080380294,0.03543647363872083,0.02679343128781331
64,Mohammed Siraj,172,227,30,1,72,41,28,571,0.30122591943957966,0.3975481611208406,0.05253940455341506,0.0017513134851138354,0.12609457092819615,0.07180385288966724,0.04903677758318739
65,Yuvraj Singh,222,435,74,4,59,41,36,871,0.25487944890929964,0.49942594718714123,0.08495981630309989,0.004592422502870264,0.0677382319173364,0.04707233065442021,0.04133180252583238
66,AB Agarkar,225,341,47,4,113,40,29,799,0.2816020025031289,0.4267834793491865,0.058823529411764705,0.0050062578222778474,0.1414267834793492,0.05006257822277847,0.03629536921151439
67,S Gopal,167,262,39,2,38,39,38,585,0.28547008547008546,0.4478632478632479,0.06666666666666667,0.003418803418803419,0.06495726495726496,0.06666666666666667,0.06495726495726496
68,S Sreesanth,359,299,56,4,128,39,40,925,0.3881081081081081,0.3232432432432432,0.06054054054054054,0.004324324324324324,0.13837837837837838,0.04216216216216216,0.043243243243243246
69,S Aravind,245,300,40,2,105,38,45,775,0.3161290322580645,0.3870967741935484,0.05161290322580645,0.0025806451612903226,0.13548387096774195,0.04903225806451613,0.05806451612903226
70,TA Boult,252,282,48,3,125,38,38,786,0.32061068702290074,0.35877862595419846,0.061068702290076333,0.003816793893129771,0.15903307888040713,0.04834605597964377,0.04834605597964377
71,Iqbal Abdulla,291,416,51,4,88,37,40,927,0.313915857605178,0.4487594390507012,0.05501618122977346,0.004314994606256742,0.09492988133764833,0.039913700107874865,0.043149946062567425
72,MC Henriques,239,418,55,3,120,37,38,910,0.26263736263736265,0.4593406593406593,0.06043956043956044,0.0032967032967032967,0.13186813186813187,0.04065934065934066,0.041758241758241756
73,A Kumble,329,411,62,3,71,35,45,956,0.34414225941422594,0.4299163179916318,0.06485355648535565,0.0031380753138075313,0.07426778242677824,0.036610878661087864,0.04707112970711297
74,DT Christian,234,340,67,2,87,34,34,798,0.2932330827067669,0.42606516290726815,0.08395989974937343,0.002506265664160401,0.10902255639097744,0.042606516290726815,0.042606516290726815
75,P Awana,254,266,56,2,106,34,39,757,0.33553500660501984,0.3513870541611625,0.07397622192866579,0.002642007926023778,0.14002642007926025,0.04491413474240423,0.05151915455746367
76,A Symonds,170,218,37,1,44,33,20,523,0.32504780114722753,0.4168260038240918,0.07074569789674952,0.0019120458891013384,0.0841300191204589,0.06309751434034416,0.03824091778202677
77,DR Smith,142,232,37,0,74,33,26,544,0.2610294117647059,0.4264705882352941,0.06801470588235294,0.0,0.13602941176470587,0.06066176470588235,0.04779411764705882
78,JP Duminy,211,328,43,0,53,33,23,691,0.3053545586107091,0.47467438494934877,0.06222865412445731,0.0,0.07670043415340087,0.04775687409551375,0.03328509406657019
79,KH Pandya,261,479,64,2,78,33,39,956,0.2730125523012552,0.5010460251046025,0.06694560669456066,0.0020920502092050207,0.08158995815899582,0.034518828451882845,0.04079497907949791
80,GJ Maxwell,111,197,33,0,39,32,16,428,0.25934579439252337,0.4602803738317757,0.07710280373831775,0.0,0.0911214953271028,0.07476635514018691,0.037383177570093455
81,Bipul Sharma,114,207,28,2,28,31,17,427,0.26697892271662765,0.4847775175644028,0.06557377049180328,0.00468384074941452,0.06557377049180328,0.07259953161592506,0.03981264637002342
82,Basil Thampi,93,180,28,0,58,30,16,405,0.22962962962962963,0.4444444444444444,0.0691358024691358,0.0,0.14320987654320988,0.07407407407407407,0.03950617283950617
83,AD Mathews,197,379,62,0,98,29,27,792,0.24873737373737373,0.47853535353535354,0.07828282828282829,0.0,0.12373737373737374,0.036616161616161616,0.03409090909090909
84,BB Sran,150,197,37,3,72,29,18,506,0.2964426877470356,0.3893280632411067,0.07312252964426877,0.005928853754940711,0.1422924901185771,0.05731225296442688,0.03557312252964427
85,JR Hopes,91,152,26,0,44,28,14,355,0.2563380281690141,0.428169014084507,0.07323943661971831,0.0,0.12394366197183099,0.07887323943661972,0.03943661971830986
86,NLTC Perera,196,279,54,3,113,28,31,704,0.2784090909090909,0.3963068181818182,0.07670454545454546,0.004261363636363636,0.16051136363636365,0.03977272727272727,0.04403409090909091
87,PV Tambe,176,309,56,1,64,28,28,662,0.26586102719033233,0.46676737160120846,0.08459214501510574,0.0015105740181268882,0.09667673716012085,0.04229607250755287,0.04229607250755287
88,CH Gayle,162,264,35,4,49,27,18,559,0.2898032200357782,0.47227191413237923,0.0626118067978533,0.007155635062611807,0.08765652951699464,0.04830053667262969,0.03220035778175313
89,RJ Harris,319,262,60,4,119,27,45,836,0.3815789473684211,0.3133971291866029,0.07177033492822966,0.004784688995215311,0.1423444976076555,0.03229665071770335,0.05382775119617225
90,AJ Tye,143,278,44,1,73,26,39,604,0.2367549668874172,0.4602649006622517,0.0728476821192053,0.0016556291390728477,0.12086092715231789,0.04304635761589404,0.06456953642384106
91,J Archer,181,181,32,2,54,26,26,502,0.3605577689243028,0.3605577689243028,0.06374501992031872,0.00398406374501992,0.10756972111553785,0.05179282868525897,0.05179282868525897
92,B Lee,349,296,67,2,121,25,25,885,0.3943502824858757,0.3344632768361582,0.07570621468926554,0.0022598870056497176,0.1367231638418079,0.02824858757062147,0.02824858757062147
93,CR Woakes,106,152,21,0,58,25,25,387,0.2739018087855297,0.39276485788113696,0.05426356589147287,0.0,0.14987080103359174,0.06459948320413436,0.06459948320413436
94,DJ Hussey,78,149,26,1,30,25,8,317,0.24605678233438485,0.47003154574132494,0.08201892744479496,0.0031545741324921135,0.0946372239747634,0.07886435331230283,0.025236593059936908
95,DL Chahar,295,221,36,4,104,24,33,717,0.41143654114365413,0.3082287308228731,0.0502092050209205,0.005578800557880056,0.14504881450488144,0.03347280334728033,0.04602510460251046
96,DL Vettori,242,355,54,1,67,24,28,771,0.3138780804150454,0.4604409857328145,0.07003891050583658,0.0012970168612191958,0.08690012970168612,0.0311284046692607,0.03631647211413749
97,J Botha,229,308,43,4,60,24,25,693,0.33044733044733043,0.4444444444444444,0.06204906204906205,0.005772005772005772,0.08658008658008658,0.03463203463203463,0.03607503607503607
98,Washington Sundar,112,154,14,0,30,24,16,350,0.32,0.44,0.04,0.0,0.08571428571428572,0.06857142857142857,0.045714285714285714
99,CJ Anderson,68,136,18,0,52,23,11,308,0.22077922077922077,0.44155844155844154,0.05844155844155844,0.0,0.16883116883116883,0.07467532467532467,0.03571428571428571
100,KK Cooper,151,244,62,0,59,23,33,572,0.263986013986014,0.42657342657342656,0.10839160839160839,0.0,0.10314685314685315,0.04020979020979021,0.057692307692307696
101,KW Richardson,106,114,22,1,35,23,18,319,0.3322884012539185,0.3573667711598746,0.06896551724137931,0.003134796238244514,0.109717868338558,0.07210031347962383,0.05642633228840126
102,MP Stoinis,78,180,21,0,51,23,15,368,0.21195652173913043,0.4891304347826087,0.057065217391304345,0.0,0.13858695652173914,0.0625,0.04076086956521739
103,Anureet Singh,121,158,29,3,64,22,18,415,0.29156626506024097,0.38072289156626504,0.06987951807228916,0.007228915662650603,0.15421686746987953,0.05301204819277108,0.043373493975903614
104,BA Stokes,181,236,45,2,86,22,26,598,0.30267558528428096,0.39464882943143814,0.07525083612040134,0.0033444816053511705,0.14381270903010032,0.03678929765886288,0.043478260869565216
105,Mustafizur Rahman,173,226,50,1,56,22,24,552,0.3134057971014493,0.40942028985507245,0.09057971014492754,0.0018115942028985507,0.10144927536231885,0.03985507246376811,0.043478260869565216
106,A Singh,173,180,48,2,79,21,31,534,0.32397003745318353,0.33707865168539325,0.0898876404494382,0.003745318352059925,0.14794007490636704,0.03932584269662921,0.05805243445692884
107,BW Hilfenhaus,151,115,20,2,48,21,22,379,0.39841688654353563,0.3034300791556728,0.052770448548812667,0.005277044854881266,0.1266490765171504,0.055408970976253295,0.05804749340369393
108,GB Hogg,136,196,34,3,39,21,23,452,0.3008849557522124,0.4336283185840708,0.0752212389380531,0.00663716814159292,0.08628318584070796,0.046460176991150445,0.05088495575221239
109,A Ashish Reddy,61,113,25,3,26,20,18,266,0.22932330827067668,0.424812030075188,0.09398496240601503,0.011278195488721804,0.09774436090225563,0.07518796992481203,0.06766917293233082
110,A Mithun,83,133,20,1,41,20,7,305,0.2721311475409836,0.4360655737704918,0.06557377049180328,0.003278688524590164,0.13442622950819672,0.06557377049180328,0.022950819672131147
111,Harmeet Singh,163,218,42,0,65,20,26,534,0.3052434456928839,0.40823970037453183,0.07865168539325842,0.0,0.12172284644194757,0.03745318352059925,0.04868913857677903
112,M Ashwin,116,202,32,1,40,20,15,426,0.27230046948356806,0.47417840375586856,0.07511737089201878,0.002347417840375587,0.09389671361502347,0.046948356807511735,0.035211267605633804
113,M Markande,75,139,12,0,36,20,16,298,0.2516778523489933,0.4664429530201342,0.040268456375838924,0.0,0.12080536912751678,0.06711409395973154,0.053691275167785234
114,NM Coulter-Nile,211,187,30,2,84,20,36,570,0.3701754385964912,0.3280701754385965,0.05263157894736842,0.0035087719298245615,0.14736842105263157,0.03508771929824561,0.06315789473684211
115,P Krishna,134,153,24,1,77,20,14,423,0.31678486997635935,0.3617021276595745,0.05673758865248227,0.002364066193853428,0.18203309692671396,0.04728132387706856,0.03309692671394799
116,R Tewatia,96,139,12,1,17,20,13,298,0.3221476510067114,0.4664429530201342,0.040268456375838924,0.003355704697986577,0.05704697986577181,0.06711409395973154,0.0436241610738255
117,Ankit Sharma,125,169,25,4,29,19,13,384,0.3255208333333333,0.4401041666666667,0.06510416666666667,0.010416666666666666,0.07552083333333333,0.049479166666666664,0.033854166666666664
118,DE Bollinger,217,200,33,2,73,19,37,581,0.37349397590361444,0.3442340791738382,0.05679862306368331,0.0034423407917383822,0.12564543889845095,0.03270223752151463,0.06368330464716007
119,Karanveer Singh,52,88,20,1,19,19,12,211,0.24644549763033174,0.41706161137440756,0.0947867298578199,0.004739336492890996,0.09004739336492891,0.09004739336492891,0.05687203791469194
120,RD Chahar,124,138,11,0,23,19,15,330,0.37575757575757573,0.41818181818181815,0.03333333333333333,0.0,0.0696969696969697,0.05757575757575758,0.045454545454545456
121,VY Mahesh,99,144,19,2,45,19,21,349,0.2836676217765043,0.41260744985673353,0.054441260744985676,0.0057306590257879654,0.12893982808022922,0.054441260744985676,0.06017191977077364
122,AN Ahmed,108,142,22,1,43,18,12,346,0.31213872832369943,0.41040462427745666,0.06358381502890173,0.002890173410404624,0.12427745664739884,0.05202312138728324,0.03468208092485549
123,AS Rajpoot,139,156,23,3,71,18,22,432,0.32175925925925924,0.3611111111111111,0.05324074074074074,0.006944444444444444,0.16435185185185186,0.041666666666666664,0.05092592592592592
124,Avesh Khan,56,53,4,0,22,18,5,158,0.35443037974683544,0.33544303797468356,0.02531645569620253,0.0,0.13924050632911392,0.11392405063291139,0.03164556962025317
125,Azhar Mahmood,170,219,33,1,71,18,29,541,0.3142329020332717,0.4048059149722736,0.06099815157116451,0.0018484288354898336,0.13123844731977818,0.033271719038817,0.053604436229205174
126,KC Cariappa,53,102,15,3,23,18,8,222,0.23873873873873874,0.4594594594594595,0.06756756756756757,0.013513513513513514,0.1036036036036036,0.08108108108108109,0.036036036036036036
127,M Ur Rahman,109,160,31,3,34,18,17,372,0.29301075268817206,0.43010752688172044,0.08333333333333333,0.008064516129032258,0.0913978494623656,0.04838709677419355,0.0456989247311828
128,RR Powar,153,175,29,4,41,18,13,433,0.3533487297921478,0.40415704387990764,0.06697459584295612,0.009237875288683603,0.09468822170900693,0.04157043879907621,0.03002309468822171
129,IC Pandey,194,129,18,5,76,17,18,457,0.424507658643326,0.28227571115973743,0.03938730853391685,0.010940919037199124,0.16630196936542668,0.037199124726477024,0.03938730853391685
130,Pankaj Singh,100,104,17,5,52,17,11,306,0.32679738562091504,0.33986928104575165,0.05555555555555555,0.016339869281045753,0.16993464052287582,0.05555555555555555,0.03594771241830065
131,RE van der Merwe,127,214,38,2,25,17,21,444,0.28603603603603606,0.481981981981982,0.08558558558558559,0.0045045045045045045,0.05630630630630631,0.038288288288288286,0.0472972972972973
132,S Ladda,43,53,9,1,12,17,5,140,0.30714285714285716,0.37857142857142856,0.06428571428571428,0.007142857142857143,0.08571428571428572,0.12142857142857143,0.03571428571428571
133,S Lamichhane,62,86,10,0,21,17,13,209,0.2966507177033493,0.41148325358851673,0.04784688995215311,0.0,0.10047846889952153,0.08133971291866028,0.06220095693779904
134,AA Chavan,92,85,15,1,28,16,8,245,0.37551020408163266,0.3469387755102041,0.061224489795918366,0.004081632653061225,0.11428571428571428,0.0653061224489796,0.0326530612244898
135,J Suchith,69,122,24,2,31,16,12,276,0.25,0.4420289855072464,0.08695652173913043,0.007246376811594203,0.11231884057971014,0.057971014492753624,0.043478260869565216
136,Joginder Sharma,59,127,17,0,35,16,12,266,0.22180451127819548,0.4774436090225564,0.06390977443609022,0.0,0.13157894736842105,0.06015037593984962,0.045112781954887216
137,LR Shukla,94,117,35,1,39,16,15,317,0.29652996845425866,0.36908517350157727,0.11041009463722397,0.0031545741324921135,0.12302839116719243,0.050473186119873815,0.0473186119873817
138,MF Maharoof,138,171,28,1,46,16,27,427,0.3231850117096019,0.40046838407494145,0.06557377049180328,0.00234192037470726,0.10772833723653395,0.03747072599531616,0.06323185011709602
139,PJ Cummins,101,150,30,0,47,16,17,361,0.27977839335180055,0.4155124653739612,0.08310249307479224,0.0,0.13019390581717452,0.0443213296398892,0.04709141274238227
140,R Dhawan,133,239,44,1,51,16,18,502,0.2649402390438247,0.4760956175298805,0.08764940239043825,0.00199203187250996,0.10159362549800798,0.03187250996015936,0.035856573705179286
141,S Mavi,56,68,9,0,22,16,5,176,0.3181818181818182,0.38636363636363635,0.05113636363636364,0.0,0.125,0.09090909090909091,0.028409090909090908
142,ST Jayasuriya,70,154,21,0,22,16,13,296,0.23648648648648649,0.5202702702702703,0.07094594594594594,0.0,0.07432432432432433,0.05405405405405406,0.04391891891891892
143,V Sehwag,38,54,4,0,18,16,6,136,0.27941176470588236,0.39705882352941174,0.029411764705882353,0.0,0.1323529411764706,0.11764705882352941,0.04411764705882353
144,BCJ Cutting,67,139,12,0,44,15,10,287,0.23344947735191637,0.4843205574912892,0.041811846689895474,0.0,0.15331010452961671,0.05226480836236934,0.03484320557491289
145,DP Nannes,257,233,36,8,89,15,28,666,0.3858858858858859,0.34984984984984985,0.05405405405405406,0.012012012012012012,0.13363363363363365,0.02252252252252252,0.042042042042042045
146,K Ahmed,70,92,8,1,31,15,19,236,0.2966101694915254,0.3898305084745763,0.03389830508474576,0.00423728813559322,0.13135593220338984,0.0635593220338983,0.08050847457627118
147,K Gowtham,110,157,18,0,49,15,11,360,0.3055555555555556,0.4361111111111111,0.05,0.0,0.1361111111111111,0.041666666666666664,0.030555555555555555
148,K Rabada,124,155,33,1,58,15,31,417,0.2973621103117506,0.37170263788968827,0.07913669064748201,0.002398081534772182,0.13908872901678657,0.03597122302158273,0.07434052757793765
149,TM Dilshan,74,137,14,1,27,15,5,273,0.27106227106227104,0.5018315018315018,0.05128205128205128,0.003663003663003663,0.0989010989010989,0.054945054945054944,0.018315018315018316
150,VRV Singh,102,142,31,3,58,15,12,363,0.2809917355371901,0.39118457300275483,0.08539944903581267,0.008264462809917356,0.15977961432506887,0.04132231404958678,0.03305785123966942
151,A Zampa,51,109,16,0,12,14,19,221,0.23076923076923078,0.49321266968325794,0.07239819004524888,0.0,0.05429864253393665,0.06334841628959276,0.08597285067873303
152,AG Murtaza,92,116,10,0,22,14,9,263,0.34980988593155893,0.44106463878326996,0.03802281368821293,0.0,0.08365019011406843,0.053231939163498096,0.034220532319391636
153,BJ Hodge,58,108,19,0,17,14,17,233,0.24892703862660945,0.463519313304721,0.0815450643776824,0.0,0.07296137339055794,0.060085836909871244,0.07296137339055794
154,MR Marsh,92,138,18,0,39,14,20,321,0.2866043613707165,0.42990654205607476,0.056074766355140186,0.0,0.12149532710280374,0.04361370716510903,0.06230529595015576
155,RG Sharma,73,172,31,3,27,14,15,335,0.21791044776119403,0.5134328358208955,0.09253731343283582,0.008955223880597015,0.08059701492537313,0.041791044776119404,0.04477611940298507
